name	taxonomy_id	taxonomy_lvl	C10_S21_S._num	C10_S21_S._frac	C1_S12_S._num	C1_S12_S._frac	C2_S13_S._num	C2_S13_S._frac	C3_S14_S._num	C3_S14_S._frac	C4_S15_S._num	C4_S15_S._frac	C5_S16_S._num	C5_S16_S._frac	C6_S17_S._num	C6_S17_S._frac	C7_S18_S._num	C7_S18_S._frac	C9_S20_S._num	C9_S20_S._frac	Post_Cntl_S._num	Post_Cntl_S._frac	S10_S11_S._num	S10_S11_S._frac	S1_S2_S._num	S1_S2_S._frac	S2_S3_S._num	S2_S3_S._frac	S3_S4_S._num	S3_S4_S._frac	S4_S5_S._num	S4_S5_S._frac	S5_S6_S._num	S5_S6_S._frac	S6_S7_S._num	S6_S7_S._frac	S7_S8_S._num	S7_S8_S._frac	S8_S9_S._num	S8_S9_S._frac	S9_S10_S._num	S9_S10_S._frac
Psychrobacter sp. KFRI-CH2-11	3156079	S	19678	0.00116	14121	0.00068	172	0.00001	732	0.00008	1046	0.00010	94	0.00001	3769	0.00022	3577	0.00024	33721	0.00136	0	0.00000	5859	0.00031	136	0.00001	534	0.00004	97	0.00000	6941	0.00062	8928	0.00016	624	0.00008	110	0.00001	230	0.00002	96	0.00001
Psychrobacter sp. P11F6	1699621	S	18163	0.00107	17217	0.00083	178	0.00002	3984	0.00044	7849	0.00075	121	0.00001	4907	0.00029	4640	0.00031	30630	0.00123	0	0.00000	3865	0.00020	137	0.00001	5792	0.00039	108	0.00000	5166	0.00046	237526	0.00425	460	0.00006	128	0.00001	137	0.00001	105	0.00001
Psychrobacter sp.	56811	S	20592	0.00121	12876	0.00062	87	0.00001	1314	0.00015	2963	0.00028	53	0.00001	7875	0.00047	7092	0.00048	35688	0.00144	0	0.00000	3742	0.00020	80	0.00000	362	0.00002	39	0.00000	5743	0.00051	6479	0.00012	653	0.00009	53	0.00000	129	0.00001	79	0.00001
Psychrobacter sp. VH5	3423439	S	14030	0.00082	10442	0.00050	144	0.00001	518	0.00006	739	0.00007	108	0.00001	2530	0.00015	2358	0.00016	23895	0.00096	0	0.00000	4545	0.00024	167	0.00001	865	0.00006	156	0.00000	5759	0.00051	8051	0.00014	594	0.00008	126	0.00001	235	0.00002	361	0.00003
Psychrobacter sp. SC65A.3	2983299	S	16163	0.00095	11629	0.00056	118	0.00001	901	0.00010	1907	0.00018	54	0.00001	5746	0.00034	4727	0.00032	26651	0.00107	0	0.00000	2597	0.00014	202	0.00001	427	0.00003	206	0.00001	3758	0.00033	12641	0.00023	478	0.00006	77	0.00001	136	0.00001	76	0.00001
Psychrobacter sp. ER1	3406645	S	12849	0.00076	9286	0.00045	123	0.00001	660	0.00007	1035	0.00010	101	0.00001	2904	0.00017	2565	0.00017	21520	0.00087	0	0.00000	3409	0.00018	105	0.00000	527	0.00004	70	0.00000	4050	0.00036	15236	0.00027	417	0.00006	88	0.00001	174	0.00001	51	0.00000
Psychrobacter sp. G	571800	S	13155	0.00077	9406	0.00045	81	0.00001	684	0.00008	1375	0.00013	58	0.00001	4266	0.00025	3501	0.00024	21076	0.00085	0	0.00000	2223	0.00012	249	0.00001	427	0.00003	319	0.00001	3176	0.00028	12246	0.00022	378	0.00005	64	0.00000	92	0.00001	78	0.00001
Psychrobacter sp. P11G3	1699623	S	9177	0.00054	6822	0.00033	131	0.00001	510	0.00006	832	0.00008	83	0.00001	1864	0.00011	1684	0.00011	15564	0.00063	0	0.00000	2613	0.00014	216	0.00001	682	0.00005	296	0.00001	3149	0.00028	14942	0.00027	302	0.00004	142	0.00001	135	0.00001	196	0.00002
Psychrobacter sp. 28M-43	2772254	S	7338	0.00043	5648	0.00027	92	0.00001	418	0.00005	627	0.00006	73	0.00001	1073	0.00006	1151	0.00008	12399	0.00050	0	0.00000	2493	0.00013	66	0.00000	649	0.00004	62	0.00000	2834	0.00025	14471	0.00026	291	0.00004	124	0.00001	125	0.00001	140	0.00001
Psychrobacter sp. SIT	3018991	S	57381	0.00337	12645	0.00061	415	0.00004	2279	0.00025	3497	0.00033	0	0.00000	16241	0.00096	27372	0.00185	101892	0.00410	0	0.00000	33437	0.00176	564	0.00002	1295	0.00009	0	0.00000	32415	0.00288	6803	0.00012	5169	0.00070	491	0.00004	640	0.00005	0	0.00000
Psychrobacter sp. KCTC 72983	2733866	S	8491	0.00050	7016	0.00034	103	0.00001	426	0.00005	629	0.00006	99	0.00001	1530	0.00009	1374	0.00009	13976	0.00056	0	0.00000	2990	0.00016	664	0.00003	459	0.00003	1000	0.00003	3072	0.00027	9552	0.00017	369	0.00005	111	0.00001	164	0.00001	102	0.00001
Psychrobacter sp. YP14	2203895	S	6164	0.00036	57109	0.00275	486	0.00004	651	0.00007	361	0.00003	227	0.00002	1139	0.00007	1052	0.00007	11103	0.00045	0	0.00000	6683	0.00035	118	0.00000	284	0.00002	33	0.00000	6040	0.00054	1066	0.00002	1401	0.00019	172	0.00001	304	0.00002	133	0.00001
Psychrobacter sp. KH172YL61	2517899	S	8746	0.00051	7277	0.00035	79	0.00001	392	0.00004	470	0.00004	49	0.00001	1713	0.00010	1460	0.00010	15537	0.00062	52	0.00000	3080	0.00016	57	0.00000	283	0.00002	37	0.00000	3887	0.00035	4372	0.00008	341	0.00005	48	0.00000	142	0.00001	51	0.00000
Psychrobacter sp. HD31	3112003	S	3246	0.00019	5071	0.00024	209	0.00002	160	0.00002	192	0.00002	150	0.00002	510	0.00003	476	0.00003	4580	0.00018	0	0.00000	1069	0.00006	661	0.00003	264	0.00002	525	0.00002	1138	0.00010	1169	0.00002	204	0.00003	199	0.00001	179	0.00001	326	0.00003
Psychrobacter sp. AntiMn-1	1720344	S	7782	0.00046	8163	0.00039	146	0.00001	438	0.00005	786	0.00008	109	0.00001	1733	0.00010	1545	0.00010	12216	0.00049	0	0.00000	2136	0.00011	70	0.00000	559	0.00004	0	0.00000	2843	0.00025	9325	0.00017	299	0.00004	89	0.00001	524	0.00004	94	0.00001
Psychrobacter sp. 4Bb	888436	S	1576	0.00009	872	0.00004	0	0.00000	54	0.00001	152	0.00001	0	0.00000	613	0.00004	390	0.00003	2669	0.00011	0	0.00000	205	0.00001	0	0.00000	0	0.00000	0	0.00000	273	0.00002	173	0.00000	36	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. AH5	2937433	S	1769	0.00010	1387	0.00007	0	0.00000	100	0.00001	203	0.00002	0	0.00000	585	0.00003	525	0.00004	3219	0.00013	0	0.00000	366	0.00002	0	0.00000	44	0.00000	0	0.00000	588	0.00005	326	0.00001	83	0.00001	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. DAB_AL60	1028419	S	782	0.00005	279	0.00001	0	0.00000	18	0.00000	58	0.00001	0	0.00000	239	0.00001	242	0.00002	1186	0.00005	0	0.00000	65	0.00000	0	0.00000	0	0.00000	0	0.00000	96	0.00001	94	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. Sarcosine-02u-2	2058324	S	886	0.00005	530	0.00003	0	0.00000	47	0.00001	133	0.00001	0	0.00000	388	0.00002	266	0.00002	1529	0.00006	0	0.00000	117	0.00001	0	0.00000	0	0.00000	0	0.00000	245	0.00002	249	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. DAB_AL32B	1028414	S	643	0.00004	472	0.00002	0	0.00000	30	0.00000	55	0.00001	0	0.00000	242	0.00001	180	0.00001	1053	0.00004	0	0.00000	108	0.00001	0	0.00000	0	0.00000	0	0.00000	196	0.00002	178	0.00000	15	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. L7	1982756	S	1506	0.00009	222	0.00001	0	0.00000	80	0.00001	201	0.00002	0	0.00000	148	0.00001	339	0.00002	2114	0.00009	0	0.00000	207	0.00001	0	0.00000	0	0.00000	0	0.00000	259	0.00002	179	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. MES7-P7E	2058322	S	443	0.00003	160	0.00001	0	0.00000	29	0.00000	100	0.00001	0	0.00000	221	0.00001	126	0.00001	796	0.00003	0	0.00000	38	0.00000	0	0.00000	0	0.00000	0	0.00000	63	0.00001	335	0.00001	16	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. DAB_AL62B	1028420	S	281	0.00002	339	0.00002	0	0.00000	16	0.00000	45	0.00000	0	0.00000	91	0.00001	77	0.00001	474	0.00002	0	0.00000	36	0.00000	0	0.00000	0	0.00000	0	0.00000	52	0.00000	129	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. 4Dc	888437	S	583	0.00003	412	0.00002	0	0.00000	42	0.00000	102	0.00001	0	0.00000	213	0.00001	185	0.00001	1200	0.00005	0	0.00000	123	0.00001	0	0.00000	0	0.00000	0	0.00000	192	0.00002	279	0.00000	29	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sp. DAB_AL109bw	1028409	S	125	0.00001	67	0.00000	0	0.00000	0	0.00000	21	0.00000	0	0.00000	31	0.00000	24	0.00000	220	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00000	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Psychrobacter sanguinis	861445	S	38158	0.00224	356951	0.01721	2684	0.00023	3980	0.00044	1677	0.00016	1121	0.00012	5959	0.00035	5604	0.00038	72312	0.00291	0	0.00000	54961	0.00289	1141	0.00004	1991	0.00014	532	0.00002	45980	0.00408	1154	0.00002	11179	0.00151	1063	0.00008	2454	0.00020	1095	0.00010
Psychrobacter urativorans	45610	S	18179	0.00107	7549	0.00036	223	0.00002	455	0.00005	584	0.00006	154	0.00002	2372	0.00014	2930	0.00020	27218	0.00109	0	0.00000	3656	0.00019	406	0.00002	429	0.00003	405	0.00001	4034	0.00036	5632	0.00010	399	0.00005	163	0.00001	217	0.00002	142	0.00001
Psychrobacter arcticus	334543	S	11696	0.00069	7899	0.00038	156	0.00001	442	0.00005	716	0.00007	103	0.00001	2199	0.00013	2231	0.00015	18507	0.00074	0	0.00000	2586	0.00014	320	0.00001	274	0.00002	365	0.00001	2726	0.00024	6597	0.00012	353	0.00005	110	0.00001	133	0.00001	75	0.00001
Psychrobacter arenosus	256326	S	7769	0.00046	18250	0.00088	244	0.00002	390	0.00004	381	0.00004	186	0.00002	1183	0.00007	1346	0.00009	11934	0.00048	0	0.00000	3031	0.00016	123	0.00000	373	0.00003	89	0.00000	3047	0.00027	2208	0.00004	588	0.00008	154	0.00001	202	0.00002	187	0.00002
Psychrobacter cryohalolentis	330922	S	9830	0.00058	13099	0.00063	139	0.00001	517	0.00006	1011	0.00010	83	0.00001	4334	0.00026	2757	0.00019	18923	0.00076	0	0.00000	3602	0.00019	82	0.00000	213	0.00001	78	0.00000	2055	0.00018	5174	0.00009	242	0.00003	41	0.00000	100	0.00001	81	0.00001
Psychrobacter alimentarius	261164	S	9951	0.00058	10409	0.00050	241	0.00002	804	0.00009	1194	0.00011	198	0.00002	2135	0.00013	1909	0.00013	15594	0.00063	0	0.00000	2972	0.00016	113	0.00000	1006	0.00007	92	0.00000	3547	0.00031	24822	0.00044	624	0.00008	610	0.00004	285	0.00002	282	0.00003
Psychrobacter raelei	2565531	S	5707	0.00034	58841	0.00284	472	0.00004	666	0.00007	365	0.00003	244	0.00003	843	0.00005	917	0.00006	9755	0.00039	0	0.00000	8026	0.00042	1609	0.00006	362	0.00002	1448	0.00004	6647	0.00059	915	0.00002	1818	0.00025	181	0.00001	451	0.00004	305	0.00003
Psychrobacter pacificensis	112002	S	4450	0.00026	5797	0.00028	132	0.00001	229	0.00003	335	0.00003	87	0.00001	778	0.00005	697	0.00005	6721	0.00027	0	0.00000	1305	0.00007	71	0.00000	112	0.00001	104	0.00000	1500	0.00013	2506	0.00004	191	0.00003	54	0.00000	78	0.00001	0	0.00000
Psychrobacter maritimus	256325	S	21905	0.00129	16192	0.00078	0	0.00000	1757	0.00020	1272	0.00012	0	0.00000	6483	0.00038	9695	0.00066	40051	0.00161	0	0.00000	13784	0.00072	0	0.00000	0	0.00000	0	0.00000	11946	0.00106	8274	0.00015	2877	0.00039	0	0.00000	0	0.00000	0	0.00000
Acinetobacter pseudolwoffii	2053287	S	172799	0.01016	1638439	0.07901	71191	0.00614	144551	0.01612	42016	0.00402	10882	0.00114	1601699	0.09463	234949	0.01589	225506	0.00907	1334	0.00003	8571	0.00045	425	0.00002	915	0.00006	550	0.00002	34359	0.00305	81151	0.00145	1073	0.00014	1036	0.00008	888	0.00007	1407	0.00013
Acinetobacter sp. F9	2853158	S	15995	0.00094	166061	0.00801	3242	0.00028	9525	0.00106	5079	0.00049	572	0.00006	155195	0.00917	17780	0.00120	21308	0.00086	206	0.00000	432	0.00002	56	0.00000	74	0.00001	89	0.00000	2243	0.00020	13109	0.00023	40	0.00001	73	0.00001	88	0.00001	68	0.00001
Acinetobacter sp. 10FS3-1	2563897	S	3236	0.00019	40805	0.00197	765	0.00007	5251	0.00059	10629	0.00102	394	0.00004	11005	0.00065	3826	0.00026	4574	0.00018	3149	0.00006	978	0.00005	265	0.00001	450	0.00003	307	0.00001	597	0.00005	32090	0.00057	348	0.00005	269	0.00002	879	0.00007	293	0.00003
Acinetobacter sp. KS-LM10	3120518	S	2368	0.00014	32776	0.00158	501	0.00004	5323	0.00059	12645	0.00121	347	0.00004	4722	0.00028	4164	0.00028	3318	0.00013	4462	0.00009	469	0.00002	282	0.00001	306	0.00002	383	0.00001	533	0.00005	32843	0.00059	204	0.00003	252	0.00002	320	0.00003	189	0.00002
Acinetobacter sp. TTH0-4	1646498	S	2089	0.00012	246264	0.01188	1524	0.00013	20778	0.00232	66093	0.00633	982	0.00010	10614	0.00063	8019	0.00054	3479	0.00014	4961	0.00010	562	0.00003	245	0.00001	475	0.00003	322	0.00001	422	0.00004	240509	0.00430	188	0.00003	339	0.00002	241	0.00002	317	0.00003
Acinetobacter sp. TGL-Y2	1407071	S	1788	0.00011	37919	0.00183	270	0.00002	6138	0.00068	14877	0.00142	252	0.00003	3090	0.00018	1855	0.00013	2570	0.00010	1654	0.00003	276	0.00001	183	0.00001	183	0.00001	228	0.00001	173	0.00002	35838	0.00064	113	0.00002	93	0.00001	106	0.00001	84	0.00001
Acinetobacter sp. LoGeW2-3	1808001	S	1590	0.00009	28579	0.00138	386	0.00003	2631	0.00029	6630	0.00063	228	0.00002	4179	0.00025	1479	0.00010	2122	0.00009	1742	0.00003	310	0.00002	298	0.00001	99	0.00001	392	0.00001	178	0.00002	25521	0.00046	116	0.00002	141	0.00001	72	0.00001	69	0.00001
Acinetobacter sp. GSS19	3020716	S	1561	0.00009	21232	0.00102	299	0.00003	1800	0.00020	4978	0.00048	200	0.00002	2115	0.00012	1050	0.00007	2104	0.00008	3186	0.00006	287	0.00002	305	0.00001	290	0.00002	355	0.00001	270	0.00002	18954	0.00034	110	0.00001	250	0.00002	200	0.00002	198	0.00002
Acinetobacter sp. NCu2D-2	1608473	S	1251	0.00007	30035	0.00145	384	0.00003	2739	0.00031	6901	0.00066	247	0.00003	3939	0.00023	1716	0.00012	1913	0.00008	2222	0.00004	435	0.00002	101	0.00000	290	0.00002	151	0.00000	290	0.00003	25718	0.00046	156	0.00002	142	0.00001	185	0.00002	235	0.00002
Acinetobacter sp. WCHAc010034	1879049	S	1690	0.00010	31710	0.00153	650	0.00006	3285	0.00037	8022	0.00077	491	0.00005	3410	0.00020	1888	0.00013	2283	0.00009	1356	0.00003	530	0.00003	511	0.00002	600	0.00004	762	0.00002	373	0.00003	28963	0.00052	223	0.00003	583	0.00004	221	0.00002	426	0.00004
Acinetobacter sp. ESL0695	2983215	S	1127	0.00007	5458	0.00026	255	0.00002	513	0.00006	1267	0.00012	273	0.00003	806	0.00005	527	0.00004	1659	0.00007	4439	0.00009	691	0.00004	283	0.00001	228	0.00002	349	0.00001	180	0.00002	4719	0.00008	240	0.00003	264	0.00002	223	0.00002	209	0.00002
Acinetobacter sp. A2	362457	S	2128	0.00013	25813	0.00124	459	0.00004	2583	0.00029	6652	0.00064	232	0.00002	2689	0.00016	1284	0.00009	2887	0.00012	1689	0.00003	554	0.00003	361	0.00001	149	0.00001	491	0.00001	180	0.00002	22716	0.00041	240	0.00003	108	0.00001	82	0.00001	173	0.00002
Acinetobacter sp. Z1	2953738	S	1235	0.00007	10390	0.00050	328	0.00003	1030	0.00011	2682	0.00026	175	0.00002	1087	0.00006	695	0.00005	1889	0.00008	7516	0.00015	221	0.00001	228	0.00001	289	0.00002	354	0.00001	207	0.00002	9628	0.00017	71	0.00001	236	0.00002	119	0.00001	198	0.00002
Acinetobacter sp. CS-2	2798861	S	2250	0.00013	144569	0.00697	1277	0.00011	15122	0.00169	46093	0.00441	892	0.00009	6075	0.00036	6000	0.00041	3068	0.00012	2812	0.00005	418	0.00002	255	0.00001	563	0.00004	414	0.00001	383	0.00003	150134	0.00268	100	0.00001	235	0.00002	227	0.00002	249	0.00002
Acinetobacter sp. ASP199	2773709	S	1075	0.00006	22281	0.00107	397	0.00003	2334	0.00026	5320	0.00051	248	0.00003	3687	0.00022	1459	0.00010	1521	0.00006	2307	0.00004	244	0.00001	90	0.00000	171	0.00001	150	0.00000	212	0.00002	19427	0.00035	88	0.00001	232	0.00002	121	0.00001	104	0.00001
Acinetobacter sp. A7.4	2919921	S	981	0.00006	32004	0.00154	404	0.00003	2691	0.00030	7654	0.00073	277	0.00003	2113	0.00012	1425	0.00010	1456	0.00006	3269	0.00006	390	0.00002	101	0.00000	213	0.00001	154	0.00000	205	0.00002	30990	0.00055	127	0.00002	196	0.00001	103	0.00001	159	0.00001
Acinetobacter sp. WY4	2708348	S	2061	0.00012	17640	0.00085	376	0.00003	1857	0.00021	2777	0.00027	156	0.00002	8912	0.00053	1813	0.00012	2589	0.00010	1449	0.00003	152	0.00001	99	0.00000	79	0.00001	231	0.00001	236	0.00002	8358	0.00015	0	0.00000	51	0.00000	0	0.00000	46	0.00000
Acinetobacter sp. A1-4-2	3156489	S	1083	0.00006	117716	0.00568	674	0.00006	10093	0.00113	31929	0.00306	489	0.00005	4477	0.00026	3925	0.00027	1590	0.00006	9700	0.00019	303	0.00002	521	0.00002	249	0.00002	560	0.00002	166	0.00001	110097	0.00197	135	0.00002	155	0.00001	141	0.00001	107	0.00001
Acinetobacter sp. XS-4	2923375	S	775	0.00005	2941	0.00014	126	0.00001	291	0.00003	759	0.00007	117	0.00001	343	0.00002	292	0.00002	1006	0.00004	1024014	0.01986	136	0.00001	26	0.00000	101	0.00001	44	0.00000	72	0.00001	2490	0.00004	46	0.00001	88	0.00001	57	0.00000	79	0.00001
Acinetobacter sp.	472	S	879	0.00005	8927	0.00043	239	0.00002	884	0.00010	2400	0.00023	197	0.00002	795	0.00005	529	0.00004	1084	0.00004	2643	0.00005	232	0.00001	131	0.00001	175	0.00001	178	0.00001	156	0.00001	9051	0.00016	79	0.00001	139	0.00001	101	0.00001	131	0.00001
Acinetobacter sp. C32I	2950074	S	708	0.00004	6714	0.00032	194	0.00002	688	0.00008	1781	0.00017	129	0.00001	764	0.00005	485	0.00003	1050	0.00004	2405	0.00005	152	0.00001	58	0.00000	124	0.00001	72	0.00000	105	0.00001	6621	0.00012	65	0.00001	172	0.00001	70	0.00001	100	0.00001
Acinetobacter sp. WCHA55	2004646	S	1028	0.00006	14269	0.00069	351	0.00003	1822	0.00020	4449	0.00043	404	0.00004	1433	0.00008	950	0.00006	1453	0.00006	2523	0.00005	423	0.00002	54	0.00000	202	0.00001	47	0.00000	186	0.00002	16024	0.00029	138	0.00002	103	0.00001	94	0.00001	150	0.00001
Acinetobacter sp. ACNIH2	1758189	S	1579	0.00009	11071	0.00053	520	0.00004	1675	0.00019	4151	0.00040	272	0.00003	886	0.00005	963	0.00007	1976	0.00008	6936	0.00013	504	0.00003	316	0.00001	300	0.00002	316	0.00001	190	0.00002	11516	0.00021	178	0.00002	429	0.00003	280	0.00002	161	0.00001
Acinetobacter sp. NEB149	2725684	S	1838	0.00011	17940	0.00087	402	0.00003	1835	0.00020	2628	0.00025	106	0.00001	8886	0.00052	1817	0.00012	2385	0.00010	1088	0.00002	219	0.00001	171	0.00001	77	0.00001	311	0.00001	169	0.00002	5934	0.00011	77	0.00001	0	0.00000	55	0.00000	0	0.00000
Acinetobacter sp. SEK541	3379131	S	548	0.00003	6043	0.00029	133	0.00001	609	0.00007	1605	0.00015	95	0.00001	453	0.00003	378	0.00003	740	0.00003	3137	0.00006	244	0.00001	49	0.00000	234	0.00002	42	0.00000	208	0.00002	5915	0.00011	94	0.00001	164	0.00001	163	0.00001	161	0.00001
Acinetobacter sp. TR3	3003392	S	2337	0.00014	5966	0.00029	205	0.00002	817	0.00009	1940	0.00019	173	0.00002	510	0.00003	600	0.00004	2816	0.00011	2650	0.00005	101	0.00001	702	0.00003	153	0.00001	636	0.00002	160	0.00001	4013	0.00007	132	0.00002	118	0.00001	160	0.00001	79	0.00001
Acinetobacter sp. YH16056_T	2929514	S	1105	0.00006	14419	0.00070	267	0.00002	1874	0.00021	4656	0.00045	165	0.00002	1211	0.00007	980	0.00007	1622	0.00007	3920	0.00008	352	0.00002	69	0.00000	256	0.00002	84	0.00000	244	0.00002	12025	0.00022	155	0.00002	125	0.00001	88	0.00001	184	0.00002
Acinetobacter sp. SH20PTE14	2905879	S	1077	0.00006	9019	0.00043	212	0.00002	1247	0.00014	2896	0.00028	162	0.00002	921	0.00005	825	0.00006	1320	0.00005	1849	0.00004	232	0.00001	94	0.00000	123	0.00001	148	0.00000	74	0.00001	8999	0.00016	62	0.00001	146	0.00001	68	0.00001	64	0.00001
Acinetobacter sp. ANC 7201	3035288	S	626	0.00004	319665	0.01541	3983	0.00034	3972	0.00044	2969	0.00028	978	0.00010	4184	0.00025	735	0.00005	980	0.00004	791	0.00002	495	0.00003	96	0.00000	189	0.00001	92	0.00000	171	0.00002	8190	0.00015	116	0.00002	110	0.00001	40	0.00000	133	0.00001
Acinetobacter sp. XH1639	3157368	S	746	0.00004	3693	0.00018	221	0.00002	487	0.00005	1211	0.00012	198	0.00002	445	0.00003	418	0.00003	1038	0.00004	1077	0.00002	264	0.00001	67	0.00000	141	0.00001	105	0.00000	79	0.00001	3472	0.00006	65	0.00001	56	0.00000	70	0.00001	114	0.00001
Acinetobacter sp. YWS30-1	2996862	S	810	0.00005	16898	0.00081	367	0.00003	1866	0.00021	3683	0.00035	121	0.00001	3562	0.00021	1502	0.00010	1179	0.00005	16	0.00000	89	0.00000	418	0.00002	136	0.00001	494	0.00001	155	0.00001	10794	0.00019	0	0.00000	140	0.00001	285	0.00002	75	0.00001
Acinetobacter sp. YH12068_T	2929515	S	1138	0.00007	9963	0.00048	271	0.00002	1742	0.00019	4228	0.00040	243	0.00003	1020	0.00006	878	0.00006	1477	0.00006	291	0.00001	222	0.00001	106	0.00000	145	0.00001	138	0.00000	182	0.00002	12463	0.00022	83	0.00001	0	0.00000	108	0.00001	112	0.00001
Acinetobacter sp. WCHAc010052	2004647	S	486	0.00003	6548	0.00032	143	0.00001	672	0.00007	1804	0.00017	113	0.00001	592	0.00003	417	0.00003	627	0.00003	2793	0.00005	823	0.00004	190	0.00001	628	0.00004	296	0.00001	371	0.00003	6851	0.00012	337	0.00005	249	0.00002	203	0.00002	409	0.00004
