name	taxonomy_id	taxonomy_lvl	C10_S21_O._num	C10_S21_O._frac	C1_S12_O._num	C1_S12_O._frac	C2_S13_O._num	C2_S13_O._frac	C3_S14_O._num	C3_S14_O._frac	C4_S15_O._num	C4_S15_O._frac	C5_S16_O._num	C5_S16_O._frac	C6_S17_O._num	C6_S17_O._frac	C7_S18_O._num	C7_S18_O._frac	C9_S20_O._num	C9_S20_O._frac	Post_Cntl_O._num	Post_Cntl_O._frac	S10_S11_O._num	S10_S11_O._frac	S1_S2_O._num	S1_S2_O._frac	S2_S3_O._num	S2_S3_O._frac	S3_S4_O._num	S3_S4_O._frac	S4_S5_O._num	S4_S5_O._frac	S5_S6_O._num	S5_S6_O._frac	S6_S7_O._num	S6_S7_O._frac	S7_S8_O._num	S7_S8_O._frac	S8_S9_O._num	S8_S9_O._frac	S9_S10_O._num	S9_S10_O._frac
Hyphomicrobiales	356	O	239801	0.01408	247492	0.01192	235824	0.02029	168904	0.01879	190528	0.01820	205546	0.02139	189954	0.01121	300954	0.02032	331237	0.01331	1961	0.00004	294990	0.01549	320642	0.01232	244973	0.01666	436586	0.01261	175353	0.01554	2206883	0.03944	116152	0.01564	293240	0.02129	191449	0.01557	180381	0.01602
Rhodobacterales	204455	O	125318	0.00736	86384	0.00416	79997	0.00688	57846	0.00644	66611	0.00636	68857	0.00717	69035	0.00407	83811	0.00566	195995	0.00788	156	0.00000	100860	0.00530	111699	0.00429	83327	0.00567	150486	0.00435	61320	0.00544	698875	0.01249	40030	0.00539	98605	0.00716	66306	0.00539	61555	0.00547
Sphingomonadales	204457	O	66564	0.00391	76944	0.00371	75983	0.00654	53282	0.00593	61584	0.00588	66031	0.00687	61280	0.00362	79582	0.00537	93055	0.00374	408	0.00001	97479	0.00512	115019	0.00442	82569	0.00562	157195	0.00454	57774	0.00512	1170749	0.02092	38787	0.00522	96714	0.00702	65416	0.00532	60985	0.00542
Rhodospirillales	204441	O	17941	0.00105	31325	0.00151	30172	0.00260	21390	0.00238	24808	0.00237	25582	0.00266	24457	0.00144	31104	0.00210	23434	0.00094	115	0.00000	40905	0.00215	40412	0.00155	31550	0.00215	55330	0.00160	23280	0.00206	124182	0.00222	16184	0.00218	39948	0.00290	26154	0.00213	22958	0.00204
Acetobacterales	3120395	O	14052	0.00083	25631	0.00123	26392	0.00227	17362	0.00193	20190	0.00193	22759	0.00237	21634	0.00128	29102	0.00197	18858	0.00076	29	0.00000	32980	0.00173	35346	0.00136	25557	0.00174	47122	0.00136	18795	0.00167	108478	0.00194	13113	0.00177	32438	0.00236	21660	0.00176	19032	0.00169
Caulobacterales	204458	O	14592	0.00086	22727	0.00109	21796	0.00188	15592	0.00173	17782	0.00170	18263	0.00190	16937	0.00100	22132	0.00149	19164	0.00077	168	0.00000	29333	0.00154	35780	0.00138	22741	0.00155	49119	0.00142	16578	0.00147	296510	0.00530	11283	0.00152	27823	0.00202	20141	0.00164	16460	0.00146
Rickettsiales	766	O	8623	0.00051	11061	0.00053	12196	0.00105	7205	0.00080	10016	0.00096	9604	0.00100	13759	0.00081	13641	0.00092	11735	0.00047	27	0.00000	20747	0.00109	16047	0.00062	13202	0.00090	20840	0.00060	8312	0.00074	13885	0.00025	8152	0.00110	14979	0.00109	12293	0.00100	10542	0.00094
Candidatus Pelagibacterales	54526	O	4357	0.00026	4282	0.00021	4664	0.00040	2746	0.00031	3766	0.00036	3832	0.00040	6059	0.00036	5446	0.00037	6485	0.00026	0	0.00000	7881	0.00041	7307	0.00028	5070	0.00034	8926	0.00026	3204	0.00028	5485	0.00010	3143	0.00042	5886	0.00043	4382	0.00036	4525	0.00040
Maricaulales	2800059	O	2486	0.00015	4878	0.00023	4906	0.00042	3444	0.00038	4187	0.00040	4032	0.00042	4151	0.00024	5121	0.00035	3396	0.00014	67	0.00000	5972	0.00031	5917	0.00023	5485	0.00037	8189	0.00024	3903	0.00035	13861	0.00025	2404	0.00032	6964	0.00051	4640	0.00038	4009	0.00036
Hyphomonadales	2800060	O	1703	0.00010	2887	0.00014	2935	0.00025	1993	0.00022	2366	0.00023	2459	0.00026	2719	0.00016	2939	0.00020	2318	0.00009	0	0.00000	3574	0.00019	3744	0.00014	3234	0.00022	4659	0.00013	2253	0.00020	7921	0.00014	1541	0.00021	3722	0.00027	2843	0.00023	2356	0.00021
Geminicoccales	3108222	O	1998	0.00012	3726	0.00018	4006	0.00034	2694	0.00030	3300	0.00032	3343	0.00035	2920	0.00017	3893	0.00026	2604	0.00010	0	0.00000	5440	0.00029	5959	0.00023	4014	0.00027	8346	0.00024	2733	0.00024	14563	0.00026	2072	0.00028	5267	0.00038	3706	0.00030	3033	0.00027
Kordiimonadales	362534	O	1279	0.00008	1805	0.00009	1678	0.00014	1172	0.00013	1440	0.00014	1479	0.00015	2060	0.00012	1745	0.00012	1764	0.00007	0	0.00000	2169	0.00011	2207	0.00008	1695	0.00012	2841	0.00008	1239	0.00011	2978	0.00005	914	0.00012	1838	0.00013	1309	0.00011	1345	0.00012
Parvularculales	255473	O	1305	0.00008	1864	0.00009	1948	0.00017	1284	0.00014	1440	0.00014	1626	0.00017	1579	0.00009	2009	0.00014	1615	0.00006	650	0.00001	2550	0.00013	2499	0.00010	1864	0.00013	3151	0.00009	1385	0.00012	5157	0.00009	1083	0.00015	2291	0.00017	1308	0.00011	1464	0.00013
Emcibacterales	2066490	O	1059	0.00006	1252	0.00006	1261	0.00011	843	0.00009	1189	0.00011	1120	0.00012	1360	0.00008	1479	0.00010	1421	0.00006	0	0.00000	2021	0.00011	1496	0.00006	1288	0.00009	2057	0.00006	1001	0.00009	2454	0.00004	812	0.00011	1974	0.00014	1101	0.00009	1103	0.00010
Holosporales	1921002	O	979	0.00006	1538	0.00007	1478	0.00013	934	0.00010	1270	0.00012	1210	0.00013	1823	0.00011	1769	0.00012	1416	0.00006	0	0.00000	1887	0.00010	1735	0.00007	1722	0.00012	2435	0.00007	1179	0.00010	1701	0.00003	805	0.00011	1742	0.00013	1004	0.00008	1388	0.00012
Minwuiales	2493627	O	457	0.00003	953	0.00005	888	0.00008	632	0.00007	773	0.00007	768	0.00008	709	0.00004	947	0.00006	553	0.00002	0	0.00000	1059	0.00006	1870	0.00007	1034	0.00007	2493	0.00007	693	0.00006	3633	0.00006	395	0.00005	1282	0.00009	769	0.00006	756	0.00007
Sneathiellales	510684	O	430	0.00003	542	0.00003	528	0.00005	343	0.00004	485	0.00005	421	0.00004	667	0.00004	615	0.00004	559	0.00002	0	0.00000	725	0.00004	724	0.00003	471	0.00003	1101	0.00003	345	0.00003	840	0.00002	266	0.00004	588	0.00004	381	0.00003	435	0.00004
Candidatus Puniceispirillales	3119832	O	208	0.00001	314	0.00002	337	0.00003	228	0.00003	288	0.00003	261	0.00003	239	0.00001	300	0.00002	206	0.00001	0	0.00000	468	0.00002	442	0.00002	378	0.00003	665	0.00002	279	0.00002	456	0.00001	186	0.00003	430	0.00003	217	0.00002	333	0.00003
Burkholderiales	80840	O	270739	0.01590	246794	0.01189	227776	0.01960	156774	0.01744	180320	0.01723	200446	0.02086	214046	0.01263	224570	0.01516	419592	0.01686	10052	0.00019	292844	0.01538	333110	0.01280	244503	0.01663	453587	0.01310	170829	0.01514	2993375	0.05350	116773	0.01572	288963	0.02098	190398	0.01549	180981	0.01608
Neisseriales	206351	O	41704	0.00245	36063	0.00174	34794	0.00299	23427	0.00261	27299	0.00261	28666	0.00298	32903	0.00194	35095	0.00237	54597	0.00219	243	0.00000	45921	0.00241	47244	0.00182	36682	0.00249	64687	0.00187	25377	0.00225	84698	0.00151	18201	0.00245	44642	0.00324	30075	0.00245	26822	0.00238
Nitrosomonadales	32003	O	18628	0.00109	18348	0.00088	18650	0.00160	12358	0.00137	14768	0.00141	16148	0.00168	14332	0.00085	18909	0.00128	25182	0.00101	281	0.00001	25284	0.00133	25314	0.00097	20099	0.00137	33914	0.00098	13645	0.00121	84086	0.00150	9806	0.00132	22747	0.00165	15173	0.00123	15274	0.00136
Rhodocyclales	206389	O	15857	0.00093	18712	0.00090	20614	0.00177	13794	0.00153	15878	0.00152	18049	0.00188	17004	0.00100	19493	0.00132	21184	0.00085	120	0.00000	26532	0.00139	26274	0.00101	23167	0.00158	36300	0.00105	16072	0.00142	93095	0.00166	10326	0.00139	26863	0.00195	16249	0.00132	17364	0.00154
Ferrovales	1442155	O	185	0.00001	248	0.00001	226	0.00002	144	0.00002	188	0.00002	184	0.00002	150	0.00001	232	0.00002	208	0.00001	71	0.00000	376	0.00002	238	0.00001	264	0.00002	351	0.00001	195	0.00002	562	0.00001	124	0.00002	264	0.00002	218	0.00002	181	0.00002
Acidithiobacillales	225057	O	2530	0.00015	3439	0.00017	3651	0.00031	2374	0.00026	2764	0.00026	2938	0.00031	2974	0.00018	3476	0.00023	3117	0.00013	367	0.00001	4643	0.00024	5064	0.00019	3910	0.00027	7113	0.00021	2844	0.00025	8395	0.00015	1777	0.00024	4884	0.00035	3031	0.00025	2849	0.00025
Mariprofundales	580371	O	552	0.00003	743	0.00004	875	0.00008	497	0.00006	700	0.00007	679	0.00007	821	0.00005	837	0.00006	785	0.00003	0	0.00000	763	0.00004	559	0.00002	820	0.00006	815	0.00002	609	0.00005	1263	0.00002	342	0.00005	768	0.00006	890	0.00007	609	0.00005
Magnetococcales	1191478	O	500	0.00003	320	0.00002	328	0.00003	250	0.00003	325	0.00003	263	0.00003	341	0.00002	353	0.00002	620	0.00002	0	0.00000	542	0.00003	339	0.00001	336	0.00002	419	0.00001	259	0.00002	588	0.00001	227	0.00003	536	0.00004	317	0.00003	280	0.00002
Hydrogenophilales	119069	O	123	0.00001	198	0.00001	239	0.00002	149	0.00002	189	0.00002	237	0.00002	193	0.00001	228	0.00002	204	0.00001	0	0.00000	184	0.00001	229	0.00001	223	0.00002	352	0.00001	129	0.00001	523	0.00001	77	0.00001	290	0.00002	213	0.00002	161	0.00001
Bacteroidales	171549	O	674948	0.03963	1225263	0.05902	1213937	0.10444	860581	0.09575	1025132	0.09795	958964	0.09982	1396052	0.08238	1332007	0.08995	958889	0.03854	235	0.00000	2323350	0.12199	6126495	0.23544	1838084	0.12500	8349564	0.24108	1123168	0.09956	2787079	0.04981	942636	0.12690	1451222	0.10537	1968070	0.16011	1212913	0.10775
Marinilabiliales	1970189	O	46187	0.00271	32211	0.00155	33677	0.00290	21483	0.00239	26889	0.00257	25079	0.00261	38728	0.00229	40501	0.00273	65385	0.00263	0	0.00000	44253	0.00232	21596	0.00083	30431	0.00207	28338	0.00082	20391	0.00181	43431	0.00078	18020	0.00243	37615	0.00273	32756	0.00266	22350	0.00199
Flavobacteriales	200644	O	630313	0.03701	334512	0.01611	331866	0.02855	201892	0.02246	268945	0.02570	247013	0.02571	399065	0.02355	393591	0.02658	1272944	0.05116	1071	0.00002	455938	0.02394	301716	0.01159	328294	0.02233	386403	0.01116	210142	0.01863	3338137	0.05966	184351	0.02482	367178	0.02666	293659	0.02389	252076	0.02239
Cytophagales	768507	O	93270	0.00548	108612	0.00523	110805	0.00953	74155	0.00825	89328	0.00853	87003	0.00906	124087	0.00732	126651	0.00855	143612	0.00577	159	0.00000	160515	0.00843	146646	0.00564	123144	0.00837	196277	0.00567	82588	0.00732	300978	0.00538	64475	0.00868	144802	0.01051	119781	0.00974	88258	0.00784
Sphingobacteriales	200666	O	87091	0.00511	69166	0.00333	71973	0.00619	46977	0.00523	57871	0.00553	55511	0.00578	81851	0.00483	83560	0.00564	145810	0.00586	42	0.00000	101981	0.00535	63944	0.00246	73070	0.00497	83262	0.00240	48203	0.00427	253853	0.00454	41295	0.00556	78230	0.00568	68773	0.00559	54824	0.00487
Chitinophagales	1853229	O	29727	0.00175	33998	0.00164	34168	0.00294	22776	0.00253	28189	0.00269	26693	0.00278	39525	0.00233	39139	0.00264	44761	0.00180	117	0.00000	51570	0.00271	39136	0.00150	38454	0.00262	52032	0.00150	25344	0.00225	103244	0.00185	20727	0.00279	41608	0.00302	37559	0.00306	27375	0.00243
Saprospirales	1936988	O	4602	0.00027	5443	0.00026	5284	0.00045	3502	0.00039	4169	0.00040	4056	0.00042	6094	0.00036	6604	0.00045	7101	0.00029	0	0.00000	8324	0.00044	6738	0.00026	5359	0.00036	8762	0.00025	3689	0.00033	10527	0.00019	3367	0.00045	7024	0.00051	5477	0.00045	3999	0.00036
Candidatus Sulfidibacteriales	2923288	O	897	0.00005	981	0.00005	957	0.00008	597	0.00007	859	0.00008	721	0.00008	1226	0.00007	1111	0.00008	1263	0.00005	0	0.00000	1677	0.00009	1151	0.00004	788	0.00005	1417	0.00004	545	0.00005	1405	0.00003	662	0.00009	1139	0.00008	797	0.00006	603	0.00005
Chlorobiales	191411	O	3452	0.00020	6508	0.00031	6841	0.00059	4613	0.00051	5369	0.00051	5597	0.00058	6814	0.00040	7516	0.00051	4443	0.00018	0	0.00000	9611	0.00050	8613	0.00033	8073	0.00055	11526	0.00033	5486	0.00049	11864	0.00021	3786	0.00051	8545	0.00062	6798	0.00055	6067	0.00054
Rhodothermales	1853224	O	1671	0.00010	3713	0.00018	3555	0.00031	2430	0.00027	2775	0.00027	3077	0.00032	2777	0.00016	3761	0.00025	2020	0.00008	0	0.00000	4716	0.00025	7813	0.00030	4041	0.00027	10589	0.00031	2889	0.00026	19285	0.00034	1849	0.00025	4449	0.00032	3171	0.00026	2890	0.00026
Ignavibacteriales	795748	O	1240	0.00007	1721	0.00008	1699	0.00015	1011	0.00011	1326	0.00013	1274	0.00013	2221	0.00013	1928	0.00013	1812	0.00007	14	0.00000	2339	0.00012	3372	0.00013	2131	0.00014	3673	0.00011	1212	0.00011	2185	0.00004	968	0.00013	2060	0.00015	1438	0.00012	1596	0.00014
Balneolales	1853223	O	1246	0.00007	1381	0.00007	1488	0.00013	1007	0.00011	1240	0.00012	1247	0.00013	1542	0.00009	1496	0.00010	1634	0.00007	0	0.00000	1730	0.00009	1422	0.00005	1786	0.00012	1911	0.00006	1120	0.00010	2320	0.00004	703	0.00009	2062	0.00015	1369	0.00011	1261	0.00011
Fibrobacterales	218872	O	3808	0.00022	8705	0.00042	6589	0.00057	1895	0.00021	2152	0.00021	2192	0.00023	17775	0.00105	6785	0.00046	2608	0.00010	0	0.00000	214317	0.01125	222773	0.00856	4960	0.00034	262263	0.00757	4096	0.00036	4420	0.00008	75139	0.01012	81931	0.00595	164192	0.01336	3771	0.00033
Gemmatimonadales	219686	O	1251	0.00007	2808	0.00014	2594	0.00022	1954	0.00022	2052	0.00020	2356	0.00025	2279	0.00013	3116	0.00021	1606	0.00006	0	0.00000	3861	0.00020	4019	0.00015	2974	0.00020	5435	0.00016	2063	0.00018	22492	0.00040	1613	0.00022	3166	0.00023	1838	0.00015	2140	0.00019
Candidatus Palauibacterales	2995212	O	548	0.00003	1128	0.00005	1056	0.00009	776	0.00009	839	0.00008	940	0.00010	690	0.00004	1287	0.00009	702	0.00003	0	0.00000	1240	0.00007	1248	0.00005	1109	0.00008	1732	0.00005	753	0.00007	5437	0.00010	467	0.00006	1234	0.00009	637	0.00005	795	0.00007
Gaopeijiales	3381667	O	215	0.00001	368	0.00002	362	0.00003	277	0.00003	263	0.00003	335	0.00003	295	0.00002	462	0.00003	253	0.00001	0	0.00000	388	0.00002	353	0.00001	388	0.00003	535	0.00002	278	0.00002	1891	0.00003	168	0.00002	640	0.00005	353	0.00003	299	0.00003
Candidatus Cloacimonadales	3039864	O	303	0.00002	372	0.00002	351	0.00003	255	0.00003	269	0.00003	253	0.00003	357	0.00002	346	0.00002	502	0.00002	0	0.00000	463	0.00002	435	0.00002	284	0.00002	553	0.00002	204	0.00002	399	0.00001	159	0.00002	267	0.00002	226	0.00002	262	0.00002
Fidelibacterales	3377526	O	284	0.00002	429	0.00002	505	0.00004	282	0.00003	351	0.00003	365	0.00004	391	0.00002	458	0.00003	331	0.00001	0	0.00000	717	0.00004	545	0.00002	435	0.00003	763	0.00002	310	0.00003	591	0.00001	311	0.00004	375	0.00003	398	0.00003	345	0.00003
Campylobacterales	213849	O	101496	0.00596	72297	0.00348	60097	0.00517	36272	0.00404	46845	0.00448	48750	0.00507	83336	0.00492	78219	0.00528	127456	0.00512	675	0.00001	282127	0.01481	89299	0.00343	118480	0.00806	118225	0.00341	68215	0.00605	111004	0.00198	136762	0.01841	84876	0.00616	77326	0.00629	89222	0.00793
Nautiliales	235899	O	2477	0.00015	3411	0.00016	3534	0.00030	2214	0.00025	2971	0.00028	2959	0.00031	4472	0.00026	4075	0.00028	3255	0.00013	0	0.00000	4958	0.00026	4066	0.00016	3509	0.00024	5335	0.00015	2244	0.00020	4144	0.00007	2040	0.00027	3594	0.00026	2749	0.00022	2767	0.00025
Desulfurellales	213113	O	191	0.00001	289	0.00001	307	0.00003	192	0.00002	225	0.00002	280	0.00003	350	0.00002	364	0.00002	253	0.00001	0	0.00000	452	0.00002	336	0.00001	380	0.00003	419	0.00001	236	0.00002	357	0.00001	224	0.00003	278	0.00002	221	0.00002	293	0.00003
