name	taxonomy_id	taxonomy_lvl	C10_S21_C._num	C10_S21_C._frac	C1_S12_C._num	C1_S12_C._frac	C2_S13_C._num	C2_S13_C._frac	C3_S14_C._num	C3_S14_C._frac	C4_S15_C._num	C4_S15_C._frac	C5_S16_C._num	C5_S16_C._frac	C6_S17_C._num	C6_S17_C._frac	C7_S18_C._num	C7_S18_C._frac	C9_S20_C._num	C9_S20_C._frac	Post_Cntl_C._num	Post_Cntl_C._frac	S10_S11_C._num	S10_S11_C._frac	S1_S2_C._num	S1_S2_C._frac	S2_S3_C._num	S2_S3_C._frac	S3_S4_C._num	S3_S4_C._frac	S4_S5_C._num	S4_S5_C._frac	S5_S6_C._num	S5_S6_C._frac	S6_S7_C._num	S6_S7_C._frac	S7_S8_C._num	S7_S8_C._frac	S8_S9_C._num	S8_S9_C._frac	S9_S10_C._num	S9_S10_C._frac
Longimicrobiia	1804991	C	215	0.00001	368	0.00002	362	0.00003	277	0.00003	263	0.00003	335	0.00003	295	0.00002	462	0.00003	253	0.00001	0	0.00000	388	0.00002	353	0.00001	388	0.00003	535	0.00002	278	0.00002	1891	0.00003	168	0.00002	640	0.00005	353	0.00003	299	0.00003
Candidatus Cloacimonadia	3039863	C	303	0.00002	372	0.00002	351	0.00003	255	0.00003	269	0.00003	253	0.00003	357	0.00002	346	0.00002	502	0.00002	0	0.00000	463	0.00002	435	0.00002	284	0.00002	553	0.00002	204	0.00002	399	0.00001	159	0.00002	267	0.00002	226	0.00002	262	0.00002
Fidelibacteria	3377525	C	284	0.00002	429	0.00002	505	0.00004	282	0.00003	351	0.00003	365	0.00004	391	0.00002	458	0.00003	331	0.00001	0	0.00000	717	0.00004	545	0.00002	435	0.00003	763	0.00002	310	0.00003	591	0.00001	311	0.00004	375	0.00003	398	0.00003	345	0.00003
Epsilonproteobacteria	3031852	C	103973	0.00610	75708	0.00365	63632	0.00547	38486	0.00428	49817	0.00476	51710	0.00538	87809	0.00518	82294	0.00556	130712	0.00525	677	0.00001	287085	0.01507	93365	0.00359	121989	0.00830	123561	0.00357	70460	0.00625	115149	0.00206	138802	0.01868	88471	0.00642	80075	0.00651	91989	0.00817
Desulfurellia	3031853	C	191	0.00001	289	0.00001	307	0.00003	192	0.00002	225	0.00002	280	0.00003	350	0.00002	364	0.00002	253	0.00001	0	0.00000	452	0.00002	336	0.00001	380	0.00003	419	0.00001	236	0.00002	357	0.00001	224	0.00003	278	0.00002	221	0.00002	293	0.00003
Desulfovibrionia	3031449	C	26130	0.00153	70944	0.00342	86095	0.00741	49945	0.00556	61127	0.00584	70811	0.00737	71189	0.00420	87342	0.00590	33220	0.00134	15	0.00000	115842	0.00608	132701	0.00510	131486	0.00894	187468	0.00541	94726	0.00840	120162	0.00215	45267	0.00609	134794	0.00979	114105	0.00928	97298	0.00864
Desulfuromonadia	3031651	C	11599	0.00068	25338	0.00122	28740	0.00247	18312	0.00204	21411	0.00205	25004	0.00260	21039	0.00124	27083	0.00183	14270	0.00057	17	0.00000	36172	0.00190	31886	0.00123	31250	0.00213	42632	0.00123	21136	0.00187	52951	0.00095	14355	0.00193	38538	0.00280	24847	0.00202	23232	0.00206
Desulfobacteria	3024418	C	6538	0.00038	14831	0.00071	15302	0.00132	10171	0.00113	12442	0.00119	12205	0.00127	13411	0.00079	15076	0.00102	8350	0.00034	0	0.00000	19178	0.00101	18402	0.00071	16319	0.00111	24386	0.00070	11534	0.00102	24416	0.00044	7628	0.00103	20487	0.00149	13609	0.00111	12297	0.00109
Desulfobulbia	3031451	C	3690	0.00022	7275	0.00035	7600	0.00065	5054	0.00056	6016	0.00057	6518	0.00068	6861	0.00040	7290	0.00049	4666	0.00019	33	0.00000	10669	0.00056	10668	0.00041	8445	0.00057	14318	0.00041	5939	0.00053	12006	0.00021	4323	0.00058	9591	0.00070	6996	0.00057	6273	0.00056
Thermodesulfobacteria	67799	C	856	0.00005	1645	0.00008	1746	0.00015	1124	0.00013	1389	0.00013	1394	0.00015	2222	0.00013	1854	0.00013	1260	0.00005	0	0.00000	3187	0.00017	2076	0.00008	2023	0.00014	2718	0.00008	1371	0.00012	2145	0.00004	1215	0.00016	2079	0.00015	1484	0.00012	1569	0.00014
Desulfarculia	3031646	C	916	0.00005	2564	0.00012	2578	0.00022	1867	0.00021	2325	0.00022	2097	0.00022	1735	0.00010	2239	0.00015	1120	0.00005	0	0.00000	2834	0.00015	3823	0.00015	2580	0.00018	5308	0.00015	1866	0.00017	5655	0.00010	1194	0.00016	3729	0.00027	2599	0.00021	1903	0.00017
Syntrophia	3031648	C	450	0.00003	1364	0.00007	1418	0.00012	914	0.00010	1151	0.00011	1191	0.00012	966	0.00006	1324	0.00009	621	0.00002	0	0.00000	1588	0.00008	1372	0.00005	1303	0.00009	1783	0.00005	985	0.00009	2378	0.00004	586	0.00008	1749	0.00013	1052	0.00009	1001	0.00009
Syntrophobacteria	3024408	C	453	0.00003	1259	0.00006	1262	0.00011	935	0.00010	993	0.00009	1197	0.00012	955	0.00006	1155	0.00008	537	0.00002	0	0.00000	1654	0.00009	1223	0.00005	1152	0.00008	1728	0.00005	733	0.00006	2533	0.00005	703	0.00009	1720	0.00012	1080	0.00009	888	0.00008
Desulfomonilia	3031650	C	225	0.00001	716	0.00003	671	0.00006	442	0.00005	676	0.00006	513	0.00005	570	0.00003	735	0.00005	346	0.00001	0	0.00000	847	0.00004	1084	0.00004	888	0.00006	1305	0.00004	588	0.00005	805	0.00001	330	0.00004	1419	0.00010	828	0.00007	616	0.00005
Desulfobaccia	3031647	C	191	0.00001	483	0.00002	538	0.00005	370	0.00004	515	0.00005	441	0.00005	455	0.00003	594	0.00004	247	0.00001	0	0.00000	566	0.00003	716	0.00003	631	0.00004	1046	0.00003	480	0.00004	951	0.00002	235	0.00003	770	0.00006	442	0.00004	441	0.00004
Candidatus Desulfofervidia	3031450	C	173	0.00001	226	0.00001	257	0.00002	147	0.00002	198	0.00002	186	0.00002	290	0.00002	268	0.00002	223	0.00001	0	0.00000	224	0.00001	455	0.00002	161	0.00001	607	0.00002	94	0.00001	508	0.00001	92	0.00001	220	0.00002	126	0.00001	162	0.00001
Spirochaetia	203692	C	45377	0.00266	58400	0.00281	60656	0.00522	39110	0.00435	49876	0.00476	50043	0.00521	131252	0.00774	79853	0.00539	49076	0.00197	43	0.00000	478875	0.02514	819409	0.03149	98111	0.00667	710467	0.02051	64336	0.00570	75831	0.00136	173850	0.02340	153147	0.01112	117890	0.00959	80815	0.00718
Planctomycetia	203683	C	16724	0.00098	33594	0.00162	34273	0.00295	22155	0.00246	27511	0.00263	29471	0.00307	27591	0.00163	46677	0.00315	20700	0.00083	20	0.00000	42004	0.00221	38599	0.00148	42815	0.00291	52474	0.00152	29973	0.00266	214577	0.00383	16674	0.00224	42381	0.00308	23212	0.00189	32021	0.00284
Phycisphaerae	666505	C	2454	0.00014	5787	0.00028	5992	0.00052	3841	0.00043	4656	0.00044	4716	0.00049	4989	0.00029	6473	0.00044	2994	0.00012	59	0.00000	7995	0.00042	5982	0.00023	6949	0.00047	8190	0.00024	5097	0.00045	15506	0.00028	3145	0.00042	7062	0.00051	5201	0.00042	5495	0.00049
Candidatus Uabimicrobiia	2897345	C	650	0.00004	942	0.00005	988	0.00008	604	0.00007	772	0.00007	766	0.00008	1329	0.00008	1089	0.00007	1048	0.00004	0	0.00000	1531	0.00008	1814	0.00007	989	0.00007	2142	0.00006	676	0.00006	1522	0.00003	610	0.00008	834	0.00006	882	0.00007	833	0.00007
Candidatus Brocadiia	2517206	C	370	0.00002	389	0.00002	425	0.00004	240	0.00003	294	0.00003	316	0.00003	535	0.00003	404	0.00003	377	0.00002	0	0.00000	604	0.00003	352	0.00001	407	0.00003	471	0.00001	302	0.00003	770	0.00001	237	0.00003	511	0.00004	215	0.00002	308	0.00003
Verrucomicrobiia	203494	C	7924	0.00047	30290	0.00146	23132	0.00199	15646	0.00174	22580	0.00216	22147	0.00231	50784	0.00300	21609	0.00146	9594	0.00039	19	0.00000	130594	0.00686	30402	0.00117	71025	0.00483	41847	0.00121	53264	0.00472	56611	0.00101	53916	0.00726	70240	0.00510	16663	0.00136	53929	0.00479
Opitutia	414999	C	5334	0.00031	10495	0.00051	10520	0.00090	6966	0.00077	8639	0.00083	9513	0.00099	10395	0.00061	13704	0.00093	6523	0.00026	14	0.00000	17912	0.00094	12984	0.00050	16439	0.00112	17654	0.00051	11447	0.00101	49894	0.00089	7269	0.00098	15476	0.00112	8313	0.00068	12625	0.00112
Methylacidiphilae	1955630	C	854	0.00005	1015	0.00005	1080	0.00009	629	0.00007	793	0.00008	378	0.00004	892	0.00005	1181	0.00008	1000	0.00004	0	0.00000	603	0.00003	958	0.00004	1111	0.00008	1345	0.00004	716	0.00006	602	0.00001	244	0.00003	1387	0.00010	266	0.00002	813	0.00007
Spartobacteria	134549	C	41	0.00000	164	0.00001	178	0.00002	109	0.00001	125	0.00001	110	0.00001	109	0.00001	186	0.00001	50	0.00000	0	0.00000	76	0.00000	102	0.00000	113	0.00001	133	0.00000	64	0.00001	177	0.00000	38	0.00001	61	0.00000	23	0.00000	76	0.00001
Chlamydiia	204429	C	2930	0.00017	4256	0.00021	4524	0.00039	2672	0.00030	3386	0.00032	3524	0.00037	5049	0.00030	5487	0.00037	3806	0.00015	0	0.00000	5432	0.00029	4231	0.00016	4477	0.00030	4952	0.00014	2917	0.00026	6388	0.00011	2165	0.00029	4547	0.00033	2905	0.00024	4908	0.00044
Tichowtungiia	2907184	C	338	0.00002	1446	0.00007	1585	0.00014	992	0.00011	1295	0.00012	1374	0.00014	1131	0.00007	1906	0.00013	468	0.00002	0	0.00000	1082	0.00006	971	0.00004	1703	0.00012	1199	0.00003	1146	0.00010	2413	0.00004	417	0.00006	1838	0.00013	752	0.00006	1235	0.00011
Kiritimatiellia	1921781	C	447	0.00003	1568	0.00008	2132	0.00018	1066	0.00012	1790	0.00017	1744	0.00018	1132	0.00007	2843	0.00019	579	0.00002	0	0.00000	1854	0.00010	1946	0.00007	2949	0.00020	2323	0.00007	1962	0.00017	4335	0.00008	703	0.00009	2874	0.00021	1072	0.00009	2164	0.00019
Lentisphaeria	1313211	C	591	0.00003	1265	0.00006	1200	0.00010	775	0.00009	985	0.00009	1121	0.00012	1261	0.00007	1562	0.00011	677	0.00003	0	0.00000	1057	0.00006	322	0.00001	1202	0.00008	419	0.00001	860	0.00008	148021	0.00265	423	0.00006	1138	0.00008	804	0.00007	944	0.00008
Myxococcia	32015	C	14465	0.00085	27635	0.00133	26092	0.00224	19358	0.00215	20479	0.00196	23260	0.00242	19302	0.00114	32581	0.00220	17814	0.00072	19	0.00000	32868	0.00173	42531	0.00163	29578	0.00201	58527	0.00169	21582	0.00191	112153	0.00200	13008	0.00175	35678	0.00259	22762	0.00185	21399	0.00190
Terriglobia	204432	C	5731	0.00034	13856	0.00067	13718	0.00118	9449	0.00105	11270	0.00108	11152	0.00116	11758	0.00069	13910	0.00094	7557	0.00030	0	0.00000	17073	0.00090	21337	0.00082	14811	0.00101	29279	0.00085	10521	0.00093	36930	0.00066	6829	0.00092	18416	0.00134	11071	0.00090	10904	0.00097
Holophagae	533205	C	2541	0.00015	6349	0.00031	6268	0.00054	4347	0.00048	5331	0.00051	5127	0.00053	5300	0.00031	6259	0.00042	3153	0.00013	0	0.00000	8774	0.00046	9943	0.00038	7094	0.00048	13522	0.00039	5508	0.00049	16272	0.00029	3363	0.00045	9467	0.00069	6564	0.00053	5202	0.00046
Vicinamibacteria	1813735	C	699	0.00004	1437	0.00007	1337	0.00012	1012	0.00011	1172	0.00011	1163	0.00012	948	0.00006	1679	0.00011	971	0.00004	0	0.00000	1612	0.00008	1459	0.00006	1440	0.00010	2035	0.00006	986	0.00009	21064	0.00038	596	0.00008	1929	0.00014	1133	0.00009	989	0.00009
Bdellovibrionia	3031418	C	3918	0.00023	7148	0.00034	7370	0.00063	4783	0.00053	5873	0.00056	5761	0.00060	7398	0.00044	7791	0.00053	5680	0.00023	0	0.00000	8758	0.00046	7157	0.00028	8705	0.00059	9058	0.00026	5354	0.00047	10872	0.00019	3419	0.00046	7667	0.00056	5359	0.00044	6280	0.00056
Bacteriovoracia	3031419	C	2687	0.00016	1903	0.00009	2026	0.00017	1190	0.00013	1529	0.00015	1573	0.00016	2111	0.00012	2103	0.00014	4996	0.00020	0	0.00000	2445	0.00013	3260	0.00013	1775	0.00012	3769	0.00011	1086	0.00010	5675	0.00010	1052	0.00014	1901	0.00014	1339	0.00011	1343	0.00012
Oligoflexia	1553900	C	935	0.00005	1287	0.00006	1500	0.00013	862	0.00010	1070	0.00010	1013	0.00011	2110	0.00012	1612	0.00011	1270	0.00005	0	0.00000	2789	0.00015	1527	0.00006	1712	0.00012	2274	0.00007	1248	0.00011	1684	0.00003	1048	0.00014	1543	0.00011	1262	0.00010	1620	0.00014
Deferribacteres	68337	C	2308	0.00014	3316	0.00016	3512	0.00030	2225	0.00025	2549	0.00024	2771	0.00029	4177	0.00025	3668	0.00025	2847	0.00011	0	0.00000	4780	0.00025	4156	0.00016	3769	0.00026	5392	0.00016	2506	0.00022	4225	0.00008	1861	0.00025	3645	0.00026	3005	0.00024	2918	0.00026
Nitrospiria	203693	C	1234	0.00007	2447	0.00012	2629	0.00023	1725	0.00019	1940	0.00019	2117	0.00022	2312	0.00014	2653	0.00018	1468	0.00006	248	0.00000	3277	0.00017	3354	0.00013	2690	0.00018	4261	0.00012	1832	0.00016	6036	0.00011	1327	0.00018	2671	0.00019	2099	0.00017	1984	0.00018
Thermodesulfovibrionia	2811502	C	983	0.00006	1555	0.00007	1607	0.00014	1040	0.00012	1318	0.00013	1251	0.00013	1816	0.00011	1723	0.00012	1413	0.00006	0	0.00000	2245	0.00012	1911	0.00007	1636	0.00011	2630	0.00008	1112	0.00010	2006	0.00004	924	0.00012	1808	0.00013	1281	0.00010	1406	0.00012
Aquificia	187857	C	1827	0.00011	3713	0.00018	3454	0.00030	2274	0.00025	2824	0.00027	2771	0.00029	3881	0.00023	3786	0.00026	2467	0.00010	11	0.00000	4625	0.00024	4827	0.00019	3575	0.00024	6159	0.00018	2335	0.00021	4690	0.00008	1804	0.00024	3890	0.00028	2562	0.00021	2965	0.00026
Elusimicrobia	641853	C	637	0.00004	1801	0.00009	1965	0.00017	1088	0.00012	1202	0.00011	1402	0.00015	1938	0.00011	1817	0.00012	792	0.00003	0	0.00000	1707	0.00009	1438	0.00006	1925	0.00013	1974	0.00006	1290	0.00011	3192	0.00006	693	0.00009	5617	0.00041	1334	0.00011	1417	0.00013
Endomicrobiia	447830	C	420	0.00002	873	0.00004	1011	0.00009	555	0.00006	718	0.00007	774	0.00008	1009	0.00006	831	0.00006	576	0.00002	0	0.00000	1419	0.00007	1316	0.00005	1024	0.00007	1705	0.00005	750	0.00007	888	0.00002	549	0.00007	1119	0.00008	809	0.00007	805	0.00007
Atribacteria	2847774	C	553	0.00003	1016	0.00005	1092	0.00009	747	0.00008	878	0.00008	907	0.00009	987	0.00006	1094	0.00007	742	0.00003	0	0.00000	1197	0.00006	1042	0.00004	1016	0.00007	1426	0.00004	668	0.00006	1657	0.00003	422	0.00006	1139	0.00008	644	0.00005	750	0.00007
Chrysiogenia	118001	C	599	0.00004	621	0.00003	911	0.00008	546	0.00006	647	0.00006	846	0.00009	656	0.00004	731	0.00005	693	0.00003	0	0.00000	1468	0.00008	1077	0.00004	1278	0.00009	1273	0.00004	776	0.00007	1373	0.00002	607	0.00008	1229	0.00009	824	0.00007	868	0.00008
Dictyoglomia	203486	C	404	0.00002	633	0.00003	739	0.00006	436	0.00005	546	0.00005	555	0.00006	753	0.00004	785	0.00005	647	0.00003	0	0.00000	937	0.00005	781	0.00003	731	0.00005	1019	0.00003	462	0.00004	747	0.00001	387	0.00005	729	0.00005	435	0.00004	609	0.00005
Thermomicrobia	189775	C	398	0.00002	867	0.00004	785	0.00007	575	0.00006	581	0.00006	647	0.00007	497	0.00003	780	0.00005	519	0.00002	0	0.00000	964	0.00005	947	0.00004	984	0.00007	1386	0.00004	697	0.00006	4409	0.00008	398	0.00005	952	0.00007	570	0.00005	739	0.00007
Thermodesulfobiia	3002443	C	316	0.00002	424	0.00002	412	0.00004	271	0.00003	351	0.00003	417	0.00004	550	0.00003	450	0.00003	448	0.00002	0	0.00000	799	0.00004	700	0.00003	447	0.00003	780	0.00002	231	0.00002	468	0.00001	303	0.00004	405	0.00003	315	0.00003	332	0.00003
Calditrichia	1962850	C	247	0.00001	519	0.00002	477	0.00004	323	0.00004	365	0.00003	434	0.00005	601	0.00004	576	0.00004	302	0.00001	0	0.00000	641	0.00003	545	0.00002	694	0.00005	751	0.00002	534	0.00005	1081	0.00002	253	0.00003	732	0.00005	393	0.00003	483	0.00004
Caldisericia	693071	C	213	0.00001	263	0.00001	264	0.00002	156	0.00002	220	0.00002	222	0.00002	322	0.00002	329	0.00002	268	0.00001	0	0.00000	431	0.00002	488	0.00002	235	0.00002	615	0.00002	159	0.00001	262	0.00000	150	0.00002	241	0.00002	242	0.00002	198	0.00002
Nitrospinia	1293498	C	197	0.00001	579	0.00003	533	0.00005	314	0.00003	432	0.00004	457	0.00005	344	0.00002	497	0.00003	250	0.00001	0	0.00000	718	0.00004	809	0.00003	634	0.00004	1080	0.00003	510	0.00005	1306	0.00002	305	0.00004	997	0.00007	528	0.00004	486	0.00004
Thermosulfidibacteria	3118679	C	167	0.00001	268	0.00001	245	0.00002	176	0.00002	184	0.00002	210	0.00002	361	0.00002	329	0.00002	217	0.00001	0	0.00000	391	0.00002	309	0.00001	274	0.00002	383	0.00001	226	0.00002	324	0.00001	173	0.00002	463	0.00003	214	0.00002	237	0.00002
Coprothermobacteria	2138243	C	71	0.00000	140	0.00001	205	0.00002	140	0.00002	180	0.00002	172	0.00002	147	0.00001	203	0.00001	86	0.00000	0	0.00000	162	0.00001	563	0.00002	149	0.00001	598	0.00002	97	0.00001	230	0.00000	52	0.00001	171	0.00001	121	0.00001	117	0.00001
Actinomycetes	1760	C	3781506	0.22201	2180798	0.10505	826478	0.07110	959111	0.10670	762354	0.07283	739068	0.07692	909012	0.05363	1141399	0.07707	5188907	0.20855	2099	0.00004	1185524	0.06224	1742379	0.06696	926178	0.06298	2328730	0.06724	1089324	0.09655	17203355	0.30746	449587	0.06052	988476	0.07177	1000247	0.08137	716521	0.06365
Coriobacteriia	84998	C	131237	0.00770	480902	0.02316	371986	0.03200	363327	0.04042	255276	0.02439	439789	0.04577	220263	0.01300	241642	0.01632	140461	0.00565	78	0.00000	188590	0.00990	315910	0.01214	358310	0.02437	418012	0.01207	265450	0.02353	1000004	0.01787	71642	0.00964	227599	0.01652	337112	0.02742	250406	0.02224
Acidimicrobiia	84992	C	8695	0.00051	8527	0.00041	7568	0.00065	6026	0.00067	6332	0.00060	6843	0.00071	5833	0.00034	9378	0.00063	11073	0.00045	16	0.00000	9295	0.00049	12320	0.00047	7204	0.00049	17044	0.00049	5367	0.00048	436117	0.00779	3520	0.00047	9670	0.00070	6505	0.00053	5220	0.00046
Thermoleophilia	1497346	C	3751	0.00022	6186	0.00030	5341	0.00046	4153	0.00046	4202	0.00040	5084	0.00053	3498	0.00021	6944	0.00047	4571	0.00018	0	0.00000	5748	0.00030	8023	0.00031	5020	0.00034	10711	0.00031	3762	0.00033	124637	0.00223	2194	0.00030	5574	0.00040	3949	0.00032	3763	0.00033
Rubrobacteria	84995	C	1099	0.00006	2685	0.00013	2555	0.00022	1768	0.00020	1997	0.00019	2257	0.00023	1781	0.00011	2503	0.00017	1336	0.00005	0	0.00000	2766	0.00015	2739	0.00011	2566	0.00017	3859	0.00011	1829	0.00016	9742	0.00017	1063	0.00014	2577	0.00019	1908	0.00016	1825	0.00016
Nitriliruptoria	908620	C	815	0.00005	1208	0.00006	1049	0.00009	881	0.00010	928	0.00009	1035	0.00011	795	0.00005	1217	0.00008	974	0.00004	0	0.00000	1393	0.00007	1651	0.00006	86615	0.00589	2333	0.00007	43032	0.00381	8821	0.00016	494	0.00007	1311	0.00010	844	0.00007	67212	0.00597
