name	taxonomy_id	taxonomy_lvl	C10_S21_G._num	C10_S21_G._frac	C1_S12_G._num	C1_S12_G._frac	C2_S13_G._num	C2_S13_G._frac	C3_S14_G._num	C3_S14_G._frac	C4_S15_G._num	C4_S15_G._frac	C5_S16_G._num	C5_S16_G._frac	C6_S17_G._num	C6_S17_G._frac	C7_S18_G._num	C7_S18_G._frac	C9_S20_G._num	C9_S20_G._frac	Post_Cntl_G._num	Post_Cntl_G._frac	S10_S11_G._num	S10_S11_G._frac	S1_S2_G._num	S1_S2_G._frac	S2_S3_G._num	S2_S3_G._frac	S3_S4_G._num	S3_S4_G._frac	S4_S5_G._num	S4_S5_G._frac	S5_S6_G._num	S5_S6_G._frac	S6_S7_G._num	S6_S7_G._frac	S7_S8_G._num	S7_S8_G._frac	S8_S9_G._num	S8_S9_G._frac	S9_S10_G._num	S9_S10_G._frac
Thiopseudomonas	1654787	G	93048	0.00546	3775	0.00018	357	0.00003	545	0.00006	343	0.00003	244	0.00003	5845	0.00034	3851	0.00026	118193	0.00475	173	0.00000	1113	0.00006	384	0.00001	374	0.00003	515	0.00001	837	0.00007	968	0.00002	234	0.00003	372	0.00003	334	0.00003	237	0.00002
Stutzerimonas	2901164	G	41325	0.00243	9817	0.00047	7841	0.00067	5200	0.00058	5332	0.00051	6697	0.00070	9810	0.00058	8463	0.00057	57512	0.00231	437	0.00001	11037	0.00058	12924	0.00050	9315	0.00063	17528	0.00051	6586	0.00058	43711	0.00078	4436	0.00060	10786	0.00078	7651	0.00062	6640	0.00059
Entomomonas	2758906	G	9100	0.00053	1358	0.00007	833	0.00007	424	0.00005	513	0.00005	609	0.00006	1417	0.00008	990	0.00007	12227	0.00049	31	0.00000	1323	0.00007	793	0.00003	660	0.00004	1086	0.00003	478	0.00004	1179	0.00002	505	0.00007	834	0.00006	503	0.00004	529	0.00005
Ectopseudomonas	3236654	G	11648	0.00068	2978	0.00014	2476	0.00021	1815	0.00020	1461	0.00014	2319	0.00024	2530	0.00015	2905	0.00020	15830	0.00064	115	0.00000	3530	0.00019	3570	0.00014	3211	0.00022	4835	0.00014	2085	0.00018	12698	0.00023	1361	0.00018	3587	0.00026	1893	0.00015	2494	0.00022
Metapseudomonas	3236656	G	4887	0.00029	2537	0.00012	2252	0.00019	1554	0.00017	1662	0.00016	1898	0.00020	1964	0.00012	2299	0.00016	7014	0.00028	749	0.00001	2856	0.00015	2818	0.00011	2148	0.00015	3633	0.00010	1743	0.00015	11750	0.00021	1067	0.00014	2790	0.00020	1855	0.00015	1621	0.00014
Azotobacter	352	G	2325	0.00014	1111	0.00005	1108	0.00010	605	0.00007	774	0.00007	1677	0.00017	841	0.00005	950	0.00006	3274	0.00013	1701	0.00003	1628	0.00009	2505	0.00010	1268	0.00009	3465	0.00010	1460	0.00013	7122	0.00013	660	0.00009	1176	0.00009	848	0.00007	883	0.00008
Azorhizophilus	157913	G	630	0.00004	172	0.00001	117	0.00001	153	0.00002	160	0.00002	86	0.00001	190	0.00001	165	0.00001	911	0.00004	11	0.00000	223	0.00001	132	0.00001	172	0.00001	191	0.00001	114	0.00001	1502	0.00003	66	0.00001	279	0.00002	213	0.00002	134	0.00001
Aquipseudomonas	3236652	G	2836	0.00017	974	0.00005	1002	0.00009	705	0.00008	808	0.00008	865	0.00009	821	0.00005	1093	0.00007	3853	0.00015	12405	0.00024	1291	0.00007	1975	0.00008	1003	0.00007	2446	0.00007	730	0.00006	8803	0.00016	529	0.00007	1277	0.00009	943	0.00008	730	0.00006
Phytopseudomonas	3236657	G	1442	0.00008	473	0.00002	378	0.00003	278	0.00003	330	0.00003	266	0.00003	522	0.00003	388	0.00003	2007	0.00008	30	0.00000	319	0.00002	311	0.00001	328	0.00002	554	0.00002	190	0.00002	2604	0.00005	145	0.00002	467	0.00003	206	0.00002	197	0.00002
Geopseudomonas	3236655	G	832	0.00005	249	0.00001	232	0.00002	141	0.00002	187	0.00002	164	0.00002	154	0.00001	214	0.00001	1204	0.00005	0	0.00000	371	0.00002	319	0.00001	248	0.00002	430	0.00001	146	0.00001	1502	0.00003	163	0.00002	324	0.00002	169	0.00001	176	0.00002
Permianibacter	1649479	G	343	0.00002	215	0.00001	238	0.00002	164	0.00002	221	0.00002	199	0.00002	325	0.00002	285	0.00002	525	0.00002	0	0.00000	291	0.00002	294	0.00001	239	0.00002	385	0.00001	173	0.00002	617	0.00001	140	0.00002	247	0.00002	314	0.00003	208	0.00002
Marinobacter	2742	G	54431	0.00320	11360	0.00055	9953	0.00086	6708	0.00075	8024	0.00077	8366	0.00087	9768	0.00058	11916	0.00080	68298	0.00275	60	0.00000	14017	0.00074	14594	0.00056	10289	0.00070	20252	0.00058	7568	0.00067	21580	0.00039	6267	0.00084	12922	0.00094	7793	0.00063	7578	0.00067
Ketobacter	2025617	G	2276	0.00013	415	0.00002	330	0.00003	231	0.00003	226	0.00002	254	0.00003	366	0.00002	352	0.00002	2989	0.00012	0	0.00000	436	0.00002	257	0.00001	305	0.00002	374	0.00001	203	0.00002	580	0.00001	179	0.00002	497	0.00004	377	0.00003	254	0.00002
Pseudohongiella	1524249	G	1507	0.00009	352	0.00002	353	0.00003	198	0.00002	287	0.00003	266	0.00003	349	0.00002	346	0.00002	1931	0.00008	0	0.00000	547	0.00003	217	0.00001	356	0.00002	300	0.00001	253	0.00002	654	0.00001	227	0.00003	371	0.00003	302	0.00002	278	0.00002
Marinospirillum	64968	G	77573	0.00456	502	0.00002	308	0.00003	177	0.00002	265	0.00003	234	0.00002	499	0.00003	450	0.00003	84613	0.00340	0	0.00000	462	0.00002	453	0.00002	292	0.00002	563	0.00002	265	0.00002	534	0.00001	185	0.00002	358	0.00003	369	0.00003	252	0.00002
Marinomonas	28253	G	47165	0.00277	6188	0.00030	4207	0.00036	2655	0.00030	3390	0.00032	3303	0.00034	6460	0.00038	4934	0.00033	59361	0.00239	178	0.00000	5583	0.00029	4610	0.00018	4060	0.00028	5763	0.00017	2945	0.00026	6479	0.00012	2059	0.00028	3958	0.00029	2871	0.00023	3176	0.00028
Thalassolituus	187492	G	18534	0.00109	2086	0.00010	1508	0.00013	965	0.00011	1265	0.00012	1239	0.00013	2262	0.00013	1861	0.00013	30192	0.00121	0	0.00000	1846	0.00010	2953	0.00011	1497	0.00010	3126	0.00009	1119	0.00010	3326	0.00006	708	0.00010	2057	0.00015	1268	0.00010	1147	0.00010
Neptuniibacter	459520	G	15224	0.00089	2201	0.00011	1553	0.00013	1063	0.00012	1244	0.00012	1353	0.00014	2201	0.00013	1847	0.00012	19370	0.00078	0	0.00000	2144	0.00011	2109	0.00008	1531	0.00010	2802	0.00008	1083	0.00010	2384	0.00004	855	0.00012	1763	0.00013	1343	0.00011	1032	0.00009
Bermanella	599651	G	10695	0.00063	1475	0.00007	630	0.00005	432	0.00005	542	0.00005	496	0.00005	912	0.00005	748	0.00005	14366	0.00058	60	0.00000	820	0.00004	585	0.00002	577	0.00004	741	0.00002	507	0.00004	910	0.00002	287	0.00004	575	0.00004	365	0.00003	475	0.00004
Bacterioplanoides	2066071	G	10075	0.00059	1112	0.00005	714	0.00006	528	0.00006	638	0.00006	569	0.00006	1160	0.00007	984	0.00007	15057	0.00061	0	0.00000	1228	0.00006	807	0.00003	678	0.00005	1105	0.00003	538	0.00005	1144	0.00002	480	0.00006	865	0.00006	567	0.00005	514	0.00005
Neptunomonas	75687	G	9679	0.00057	1218	0.00006	684	0.00006	432	0.00005	621	0.00006	597	0.00006	841	0.00005	823	0.00006	11926	0.00048	0	0.00000	885	0.00005	1014	0.00004	740	0.00005	1342	0.00004	546	0.00005	1072	0.00002	336	0.00005	680	0.00005	560	0.00005	540	0.00005
Nitrincola	267849	G	8979	0.00053	842	0.00004	777	0.00007	430	0.00005	485	0.00005	655	0.00007	832	0.00005	788	0.00005	11091	0.00045	85	0.00000	999	0.00005	923	0.00004	656	0.00004	1208	0.00003	483	0.00004	1076	0.00002	392	0.00005	669	0.00005	460	0.00004	520	0.00005
Marinobacterium	48075	G	8249	0.00048	2723	0.00013	2499	0.00022	1715	0.00019	2070	0.00020	2019	0.00021	2388	0.00014	2636	0.00018	10705	0.00043	26	0.00000	3193	0.00017	2686	0.00010	2449	0.00017	3537	0.00010	1713	0.00015	5048	0.00009	1279	0.00017	3102	0.00023	1841	0.00015	1785	0.00016
Venatoribacter	2893036	G	6874	0.00040	698	0.00003	337	0.00003	256	0.00003	291	0.00003	263	0.00003	525	0.00003	480	0.00003	11966	0.00048	0	0.00000	636	0.00003	1636	0.00006	330	0.00002	2187	0.00006	321	0.00003	755	0.00001	216	0.00003	518	0.00004	382	0.00003	247	0.00002
Amphritea	515417	G	5696	0.00033	1275	0.00006	985	0.00008	671	0.00007	789	0.00008	795	0.00008	1042	0.00006	1057	0.00007	7083	0.00028	0	0.00000	1494	0.00008	1326	0.00005	1090	0.00007	1812	0.00005	834	0.00007	1607	0.00003	576	0.00008	1187	0.00009	744	0.00006	846	0.00008
Aliamphritea	3018276	G	4233	0.00025	884	0.00004	785	0.00007	534	0.00006	620	0.00006	709	0.00007	775	0.00005	785	0.00005	5550	0.00022	0	0.00000	844	0.00004	721	0.00003	831	0.00006	976	0.00003	578	0.00005	1474	0.00003	352	0.00005	937	0.00007	751	0.00006	557	0.00005
Bacterioplanes	1537406	G	3119	0.00018	365	0.00002	310	0.00003	153	0.00002	179	0.00002	197	0.00002	366	0.00002	311	0.00002	4387	0.00018	0	0.00000	313	0.00002	195	0.00001	176	0.00001	262	0.00001	156	0.00001	485	0.00001	114	0.00002	322	0.00002	320	0.00003	130	0.00001
Motiliproteus	1775292	G	785	0.00005	491	0.00002	436	0.00004	274	0.00003	344	0.00003	366	0.00004	355	0.00002	377	0.00003	1143	0.00005	0	0.00000	376	0.00002	467	0.00002	331	0.00002	643	0.00002	273	0.00002	1045	0.00002	159	0.00002	724	0.00005	405	0.00003	267	0.00002
Halomonas	2745	G	55585	0.00326	16705	0.00080	13989	0.00120	10016	0.00111	11230	0.00107	11652	0.00121	12581	0.00074	14295	0.00097	70764	0.00284	386	0.00001	18480	0.00097	19247	0.00074	15495	0.00105	26234	0.00076	12027	0.00107	45448	0.00081	7014	0.00094	17400	0.00126	13187	0.00107	11999	0.00107
Vreelandella	3137766	G	52824	0.00310	5138	0.00025	4548	0.00039	2936	0.00033	3593	0.00034	3629	0.00038	4366	0.00026	4409	0.00030	63435	0.00255	12	0.00000	5749	0.00030	5446	0.00021	4374	0.00030	7232	0.00021	2754	0.00024	9115	0.00016	2308	0.00031	5376	0.00039	3713	0.00030	2828	0.00025
Cobetia	204286	G	3687	0.00022	1626	0.00008	1542	0.00013	1075	0.00012	1229	0.00012	1334	0.00014	1198	0.00007	1464	0.00010	4538	0.00018	0	0.00000	1616	0.00008	1701	0.00007	1879	0.00013	2251	0.00007	1379	0.00012	3900	0.00007	624	0.00008	1675	0.00012	1088	0.00009	1375	0.00012
Zymobacter	33073	G	2035	0.00012	591	0.00003	482	0.00004	343	0.00004	397	0.00004	381	0.00004	482	0.00003	537	0.00004	2360	0.00009	0	0.00000	607	0.00003	617	0.00002	458	0.00003	859	0.00002	322	0.00003	1010	0.00002	231	0.00003	388	0.00003	454	0.00004	355	0.00003
Candidatus Carsonella	114185	G	252	0.00001	231	0.00001	320	0.00003	191	0.00002	215	0.00002	193	0.00002	485	0.00003	378	0.00003	302	0.00001	19	0.00000	640	0.00003	209	0.00001	273	0.00002	318	0.00001	147	0.00001	304	0.00001	286	0.00004	376	0.00003	240	0.00002	250	0.00002
Kushneria	504090	G	1976	0.00012	905	0.00004	779	0.00007	490	0.00005	606	0.00006	599	0.00006	619	0.00004	854	0.00006	2486	0.00010	0	0.00000	1064	0.00006	1364	0.00005	893	0.00006	1877	0.00005	692	0.00006	1951	0.00003	396	0.00005	1064	0.00008	642	0.00005	689	0.00006
Billgrantia	3137761	G	3858	0.00023	756	0.00004	534	0.00005	372	0.00004	366	0.00003	407	0.00004	432	0.00003	560	0.00004	4144	0.00017	0	0.00000	543	0.00003	662	0.00003	506	0.00003	1000	0.00003	350	0.00003	1898	0.00003	191	0.00003	722	0.00005	395	0.00003	321	0.00003
Chromohalobacter	42054	G	1744	0.00010	760	0.00004	784	0.00007	479	0.00005	604	0.00006	689	0.00007	474	0.00003	692	0.00005	2140	0.00009	0	0.00000	879	0.00005	1095	0.00004	683	0.00005	1488	0.00004	418	0.00004	2549	0.00005	299	0.00004	744	0.00005	903	0.00007	445	0.00004
Salinicola	404432	G	1695	0.00010	1438	0.00007	1523	0.00013	1046	0.00012	1222	0.00012	1318	0.00014	1359	0.00008	1636	0.00011	2409	0.00010	19	0.00000	1916	0.00010	2111	0.00008	1674	0.00011	2956	0.00009	1150	0.00010	6323	0.00011	749	0.00010	1776	0.00013	1679	0.00014	1158	0.00010
Pistricoccus	1897649	G	1446	0.00008	362	0.00002	302	0.00003	186	0.00002	225	0.00002	215	0.00002	224	0.00001	384	0.00003	2028	0.00008	0	0.00000	474	0.00002	316	0.00001	312	0.00002	455	0.00001	227	0.00002	898	0.00002	179	0.00002	604	0.00004	372	0.00003	224	0.00002
Halotalea	376488	G	481	0.00003	355	0.00002	395	0.00003	265	0.00003	262	0.00003	310	0.00003	271	0.00002	329	0.00002	649	0.00003	0	0.00000	358	0.00002	816	0.00003	552	0.00004	943	0.00003	363	0.00003	1313	0.00002	123	0.00002	527	0.00004	491	0.00004	434	0.00004
Endozoicomonas	305899	G	10570	0.00062	4546	0.00022	3951	0.00034	2638	0.00029	3441	0.00033	3167	0.00033	4049	0.00024	4089	0.00028	13732	0.00055	11	0.00000	4580	0.00024	3616	0.00014	3896	0.00027	4833	0.00014	2780	0.00025	5796	0.00010	1722	0.00023	4629	0.00034	3012	0.00025	2894	0.00026
Alcanivorax	59753	G	6216	0.00037	1942	0.00009	1882	0.00016	1333	0.00015	1530	0.00015	1503	0.00016	1888	0.00011	1818	0.00012	8803	0.00035	0	0.00000	2655	0.00014	2403	0.00009	2485	0.00017	3390	0.00010	1729	0.00015	3771	0.00007	1026	0.00014	2488	0.00018	1914	0.00016	1807	0.00016
Alloalcanivorax	3020832	G	2970	0.00017	1346	0.00006	1395	0.00012	845	0.00009	1098	0.00010	1171	0.00012	1069	0.00006	1281	0.00009	4259	0.00017	0	0.00000	1744	0.00009	2810	0.00011	1444	0.00010	3616	0.00010	935	0.00008	4210	0.00008	706	0.00010	2194	0.00016	1321	0.00011	1033	0.00009
Isoalcanivorax	3020833	G	761	0.00004	317	0.00002	304	0.00003	210	0.00002	211	0.00002	297	0.00003	246	0.00001	297	0.00002	1326	0.00005	0	0.00000	518	0.00003	406	0.00002	478	0.00003	525	0.00002	359	0.00003	1131	0.00002	212	0.00003	576	0.00004	298	0.00002	367	0.00003
Salinispirillum	1649491	G	1950	0.00011	355	0.00002	277	0.00002	173	0.00002	224	0.00002	203	0.00002	272	0.00002	232	0.00002	2409	0.00010	0	0.00000	266	0.00001	456	0.00002	225	0.00002	643	0.00002	156	0.00001	674	0.00001	103	0.00001	302	0.00002	160	0.00001	164	0.00001
Saccharospirillum	231683	G	1340	0.00008	319	0.00002	284	0.00002	182	0.00002	228	0.00002	236	0.00002	231	0.00001	307	0.00002	1512	0.00006	0	0.00000	326	0.00002	503	0.00002	255	0.00002	650	0.00002	182	0.00002	715	0.00001	114	0.00002	361	0.00003	195	0.00002	162	0.00001
Gynuella	1445504	G	988	0.00006	369	0.00002	315	0.00003	234	0.00003	291	0.00003	281	0.00003	410	0.00002	383	0.00003	1539	0.00006	0	0.00000	490	0.00003	439	0.00002	395	0.00003	584	0.00002	306	0.00003	558	0.00001	181	0.00002	364	0.00003	238	0.00002	254	0.00002
Reinekea	230494	G	851	0.00005	292	0.00001	279	0.00002	183	0.00002	267	0.00003	263	0.00003	320	0.00002	380	0.00003	1237	0.00005	0	0.00000	375	0.00002	502	0.00002	336	0.00002	736	0.00002	227	0.00002	545	0.00001	156	0.00002	370	0.00003	241	0.00002	262	0.00002
Hahella	158481	G	3344	0.00020	1745	0.00008	1699	0.00015	1129	0.00013	1376	0.00013	1329	0.00014	1639	0.00010	1637	0.00011	4780	0.00019	0	0.00000	2238	0.00012	2789	0.00011	1736	0.00012	3816	0.00011	1223	0.00011	3590	0.00006	918	0.00012	2401	0.00017	1266	0.00010	1219	0.00011
Allohahella	1855402	G	579	0.00003	267	0.00001	306	0.00003	189	0.00002	185	0.00002	230	0.00002	259	0.00002	313	0.00002	808	0.00003	0	0.00000	510	0.00003	465	0.00002	396	0.00003	587	0.00002	262	0.00002	688	0.00001	215	0.00003	352	0.00003	152	0.00001	246	0.00002
Spartinivicinus	2768738	G	2978	0.00017	451	0.00002	244	0.00002	189	0.00002	220	0.00002	223	0.00002	363	0.00002	311	0.00002	3928	0.00016	0	0.00000	340	0.00002	185	0.00001	385	0.00003	321	0.00001	265	0.00002	359	0.00001	149	0.00002	482	0.00004	214	0.00002	285	0.00003
Marinicellulosiphila	3414216	G	2702	0.00016	253	0.00001	349	0.00003	201	0.00002	219	0.00002	223	0.00002	515	0.00003	370	0.00002	3589	0.00014	0	0.00000	390	0.00002	648	0.00002	364	0.00002	751	0.00002	235	0.00002	422	0.00001	175	0.00002	275	0.00002	219	0.00002	273	0.00002
Pleionea	1502941	G	2045	0.00012	281	0.00001	170	0.00001	144	0.00002	114	0.00001	133	0.00001	269	0.00002	191	0.00001	2437	0.00010	0	0.00000	257	0.00001	145	0.00001	163	0.00001	231	0.00001	128	0.00001	433	0.00001	85	0.00001	292	0.00002	246	0.00002	121	0.00001
Oleiphilus	141450	G	1765	0.00010	392	0.00002	298	0.00003	202	0.00002	227	0.00002	229	0.00002	302	0.00002	268	0.00002	2217	0.00009	0	0.00000	407	0.00002	191	0.00001	364	0.00002	276	0.00001	204	0.00002	497	0.00001	165	0.00002	413	0.00003	207	0.00002	201	0.00002
Pokkaliibacter	2301194	G	1136	0.00007	650	0.00003	605	0.00005	418	0.00005	468	0.00004	515	0.00005	466	0.00003	592	0.00004	1555	0.00006	0	0.00000	497	0.00003	423	0.00002	439	0.00003	566	0.00002	318	0.00003	1142	0.00002	211	0.00003	685	0.00005	346	0.00003	331	0.00003
Litorivicinus	418700	G	550	0.00003	196	0.00001	227	0.00002	115	0.00001	140	0.00001	160	0.00002	185	0.00001	246	0.00002	824	0.00003	0	0.00000	192	0.00001	237	0.00001	193	0.00001	330	0.00001	128	0.00001	587	0.00001	61	0.00001	261	0.00002	270	0.00002	111	0.00001
Shewanella	22	G	129581	0.00761	24586	0.00118	17984	0.00155	11756	0.00131	14696	0.00140	14564	0.00152	22376	0.00132	20224	0.00137	181760	0.00731	871	0.00002	26443	0.00139	18826	0.00072	18420	0.00125	25121	0.00073	13110	0.00116	185377	0.00331	10531	0.00142	19839	0.00144	13920	0.00113	13638	0.00121
Parashewanella	2547964	G	2838	0.00017	507	0.00002	440	0.00004	270	0.00003	335	0.00003	355	0.00004	540	0.00003	531	0.00004	3761	0.00015	0	0.00000	1302	0.00007	436	0.00002	586	0.00004	615	0.00002	370	0.00003	623	0.00001	522	0.00007	742	0.00005	527	0.00004	372	0.00003
Psychrobium	1573826	G	1580	0.00009	444	0.00002	184	0.00002	155	0.00002	177	0.00002	148	0.00002	285	0.00002	226	0.00002	2073	0.00008	0	0.00000	566	0.00003	163	0.00001	169	0.00001	195	0.00001	132	0.00001	344	0.00001	223	0.00003	259	0.00002	172	0.00001	148	0.00001
Pseudoalteromonas	53246	G	76557	0.00450	15429	0.00074	11017	0.00095	7075	0.00079	8981	0.00086	8281	0.00086	15492	0.00091	13224	0.00089	102325	0.00411	186	0.00000	15467	0.00081	13967	0.00054	10553	0.00072	17203	0.00050	8034	0.00071	16099	0.00029	6079	0.00082	11065	0.00080	8623	0.00070	8418	0.00075
Psychrosphaera	907197	G	2035	0.00012	645	0.00003	509	0.00004	361	0.00004	419	0.00004	368	0.00004	744	0.00004	578	0.00004	3471	0.00014	0	0.00000	499	0.00003	489	0.00002	544	0.00004	649	0.00002	358	0.00003	553	0.00001	213	0.00003	486	0.00004	322	0.00003	386	0.00003
Flocculibacter	2834759	G	1685	0.00010	277	0.00001	208	0.00002	142	0.00002	131	0.00001	168	0.00002	205	0.00001	192	0.00001	2089	0.00008	0	0.00000	165	0.00001	168	0.00001	305	0.00002	245	0.00001	179	0.00002	412	0.00001	71	0.00001	245	0.00002	156	0.00001	210	0.00002
Alteromonas	226	G	28054	0.00165	7374	0.00036	5883	0.00051	3703	0.00041	4461	0.00043	4340	0.00045	7342	0.00043	6594	0.00045	39645	0.00159	121	0.00000	8169	0.00043	4810	0.00018	5160	0.00035	6171	0.00018	3542	0.00031	7952	0.00014	3116	0.00042	5294	0.00038	4118	0.00034	3955	0.00035
Salinimonas	288793	G	3259	0.00019	1459	0.00007	991	0.00009	658	0.00007	702	0.00007	771	0.00008	1136	0.00007	1082	0.00007	4085	0.00016	0	0.00000	1384	0.00007	1117	0.00004	998	0.00007	1502	0.00004	742	0.00007	1628	0.00003	551	0.00007	1246	0.00009	833	0.00007	759	0.00007
Agarivorans	261825	G	11728	0.00069	1931	0.00009	1539	0.00013	911	0.00010	1219	0.00012	1130	0.00012	1983	0.00012	1672	0.00011	15468	0.00062	33	0.00000	2663	0.00014	1573	0.00006	1560	0.00011	1919	0.00006	1061	0.00009	2167	0.00004	965	0.00013	1525	0.00011	1249	0.00010	1161	0.00010
Paraglaciecola	1621534	G	6442	0.00038	1535	0.00007	1005	0.00009	715	0.00008	910	0.00009	814	0.00008	1540	0.00009	1311	0.00009	8776	0.00035	11	0.00000	1673	0.00009	891	0.00003	1046	0.00007	1237	0.00004	817	0.00007	1926	0.00003	636	0.00009	1007	0.00007	806	0.00007	938	0.00008
Alkalimarinus	1858563	G	6193	0.00036	1049	0.00005	652	0.00006	443	0.00005	516	0.00005	510	0.00005	976	0.00006	876	0.00006	8381	0.00034	16	0.00000	985	0.00005	633	0.00002	715	0.00005	873	0.00003	482	0.00004	1305	0.00002	370	0.00005	571	0.00004	394	0.00003	535	0.00005
Alishewanella	111142	G	3857	0.00023	364	0.00002	229	0.00002	131	0.00001	169	0.00002	193	0.00002	333	0.00002	284	0.00002	4727	0.00019	0	0.00000	203	0.00001	210	0.00001	154	0.00001	302	0.00001	123	0.00001	253	0.00000	61	0.00001	96	0.00001	138	0.00001	124	0.00001
Catenovulum	1172191	G	3816	0.00022	455	0.00002	376	0.00003	263	0.00003	314	0.00003	286	0.00003	498	0.00003	487	0.00003	5038	0.00020	0	0.00000	713	0.00004	1218	0.00005	446	0.00003	1242	0.00004	285	0.00003	544	0.00001	248	0.00003	380	0.00003	267	0.00002	312	0.00003
Halioxenophilus	2108524	G	2542	0.00015	312	0.00002	312	0.00003	200	0.00002	210	0.00002	235	0.00002	470	0.00003	323	0.00002	3414	0.00014	0	0.00000	327	0.00002	557	0.00002	303	0.00002	788	0.00002	232	0.00002	649	0.00001	131	0.00002	317	0.00002	257	0.00002	237	0.00002
Lacimicrobium	1751872	G	1399	0.00008	337	0.00002	254	0.00002	221	0.00002	253	0.00002	228	0.00002	349	0.00002	306	0.00002	1661	0.00007	0	0.00000	395	0.00002	220	0.00001	351	0.00002	316	0.00001	250	0.00002	457	0.00001	125	0.00002	385	0.00003	184	0.00001	257	0.00002
Aliiglaciecola	1406885	G	1378	0.00008	329	0.00002	191	0.00002	135	0.00002	133	0.00001	163	0.00002	297	0.00002	272	0.00002	1859	0.00007	0	0.00000	502	0.00003	90	0.00000	290	0.00002	123	0.00000	169	0.00001	323	0.00001	214	0.00003	294	0.00002	193	0.00002	234	0.00002
