name	taxonomy_id	taxonomy_lvl	C10_S21_F._num	C10_S21_F._frac	C1_S12_F._num	C1_S12_F._frac	C2_S13_F._num	C2_S13_F._frac	C3_S14_F._num	C3_S14_F._frac	C4_S15_F._num	C4_S15_F._frac	C5_S16_F._num	C5_S16_F._frac	C6_S17_F._num	C6_S17_F._frac	C7_S18_F._num	C7_S18_F._frac	C9_S20_F._num	C9_S20_F._frac	Post_Cntl_F._num	Post_Cntl_F._frac	S10_S11_F._num	S10_S11_F._frac	S1_S2_F._num	S1_S2_F._frac	S2_S3_F._num	S2_S3_F._frac	S3_S4_F._num	S3_S4_F._frac	S4_S5_F._num	S4_S5_F._frac	S5_S6_F._num	S5_S6_F._frac	S6_S7_F._num	S6_S7_F._frac	S7_S8_F._num	S7_S8_F._frac	S8_S9_F._num	S8_S9_F._frac	S9_S10_F._num	S9_S10_F._frac
Erwiniaceae	1903409	F	39370	0.00231	28850	0.00139	28120	0.00242	18029	0.00201	21818	0.00208	23001	0.00239	29014	0.00171	28892	0.00195	57691	0.00232	3056	0.00006	39753	0.00209	34950	0.00134	30297	0.00206	47387	0.00137	19883	0.00176	108288	0.00194	15370	0.00207	32413	0.00235	24133	0.00196	23539	0.00209
Pectobacteriaceae	1903410	F	16690	0.00098	12132	0.00058	11381	0.00098	7704	0.00086	8950	0.00086	9317	0.00097	11543	0.00068	11760	0.00079	21920	0.00088	1451	0.00003	15523	0.00082	15979	0.00061	11973	0.00081	20528	0.00059	8215	0.00073	24498	0.00044	6364	0.00086	13172	0.00096	9404	0.00077	8604	0.00076
Hafniaceae	1903412	F	6438	0.00038	3729	0.00018	4403	0.00038	2801	0.00031	3128	0.00030	3665	0.00038	3522	0.00021	4186	0.00028	7833	0.00031	909	0.00002	5758	0.00030	5914	0.00023	4110	0.00028	8040	0.00023	2711	0.00024	8341	0.00015	2327	0.00031	4877	0.00035	3322	0.00027	2984	0.00027
Budviciaceae	1903416	F	3053	0.00018	1780	0.00009	1546	0.00013	1099	0.00012	1285	0.00012	1324	0.00014	1710	0.00010	1666	0.00011	4171	0.00017	22	0.00000	2374	0.00012	1711	0.00007	1711	0.00012	2289	0.00007	1218	0.00011	2905	0.00005	908	0.00012	2048	0.00015	1061	0.00009	1236	0.00011
Bruguierivoracaceae	2812006	F	2993	0.00018	2691	0.00013	2587	0.00022	1862	0.00021	2278	0.00022	2147	0.00022	2845	0.00017	2590	0.00017	4043	0.00016	98	0.00000	3156	0.00017	3474	0.00013	3110	0.00021	4873	0.00014	2217	0.00020	6706	0.00012	1295	0.00017	3527	0.00026	2678	0.00022	2213	0.00020
Gallaecimonadaceae	3120698	F	2581	0.00015	1709	0.00008	1801	0.00015	1210	0.00013	1452	0.00014	1367	0.00014	1590	0.00009	1679	0.00011	3418	0.00014	19	0.00000	2306	0.00012	2663	0.00010	1600	0.00011	3605	0.00010	1159	0.00010	3909	0.00007	881	0.00012	2249	0.00016	1523	0.00012	1185	0.00011
Vibrionaceae	641	F	210585	0.01236	64013	0.00308	57758	0.00497	36996	0.00412	42125	0.00402	48944	0.00509	67086	0.00396	58192	0.00393	271129	0.01090	2714	0.00005	76870	0.00404	56861	0.00219	58275	0.00396	73313	0.00212	39104	0.00347	77975	0.00139	32157	0.00433	56665	0.00411	45466	0.00370	45159	0.00401
Cellvibrionaceae	1706371	F	38134	0.00224	7522	0.00036	6412	0.00055	4238	0.00047	5179	0.00049	5039	0.00052	7855	0.00046	7043	0.00048	52866	0.00212	62	0.00000	9527	0.00050	8746	0.00034	7549	0.00051	11516	0.00033	5310	0.00047	26033	0.00047	3627	0.00049	7977	0.00058	6195	0.00050	5491	0.00049
Microbulbiferaceae	1706373	F	16445	0.00097	8724	0.00042	7635	0.00066	5443	0.00061	6554	0.00063	6137	0.00064	7599	0.00045	7937	0.00054	22679	0.00091	61	0.00000	10343	0.00054	10177	0.00039	8073	0.00055	13852	0.00040	5887	0.00052	17342	0.00031	4123	0.00056	10604	0.00077	6779	0.00055	6054	0.00054
Halieaceae	1706372	F	10694	0.00063	3172	0.00015	2979	0.00026	2012	0.00022	2380	0.00023	2531	0.00026	2872	0.00017	3007	0.00020	13812	0.00056	23	0.00000	3591	0.00019	4158	0.00016	3016	0.00021	5821	0.00017	2120	0.00019	6374	0.00011	1477	0.00020	3336	0.00024	2696	0.00022	2263	0.00020
Spongiibacteraceae	1706375	F	9812	0.00058	1597	0.00008	1625	0.00014	948	0.00011	1153	0.00011	1207	0.00013	1692	0.00010	1522	0.00010	13504	0.00054	31	0.00000	1647	0.00009	1873	0.00007	1410	0.00010	2633	0.00008	1056	0.00009	2905	0.00005	609	0.00008	1765	0.00013	1278	0.00010	1091	0.00010
Porticoccaceae	1706374	F	512	0.00003	103	0.00000	99	0.00001	83	0.00001	100	0.00001	71	0.00001	102	0.00001	97	0.00001	774	0.00003	0	0.00000	144	0.00001	188	0.00001	120	0.00001	243	0.00001	72	0.00001	294	0.00001	55	0.00001	99	0.00001	93	0.00001	84	0.00001
Lysobacteraceae	32033	F	55401	0.00325	42766	0.00206	46886	0.00403	31176	0.00347	36146	0.00345	40061	0.00417	33164	0.00196	44220	0.00299	76117	0.00306	1012	0.00002	58542	0.00307	64022	0.00246	48707	0.00331	88750	0.00256	33788	0.00300	1928518	0.03447	23159	0.00312	60151	0.00437	39029	0.00318	34799	0.00309
Rhodanobacteraceae	1775411	F	9416	0.00055	13342	0.00064	13138	0.00113	9221	0.00103	10547	0.00101	11120	0.00116	10302	0.00061	13515	0.00091	12880	0.00052	754	0.00001	16492	0.00087	18946	0.00073	15441	0.00105	26223	0.00076	15645	0.00139	133487	0.00239	6416	0.00086	17434	0.00127	9731	0.00079	11945	0.00106
Marinicellaceae	3120710	F	809	0.00005	217	0.00001	180	0.00002	118	0.00001	168	0.00002	154	0.00002	394	0.00002	255	0.00002	943	0.00004	0	0.00000	308	0.00002	371	0.00001	282	0.00002	530	0.00002	152	0.00001	370	0.00001	123	0.00002	329	0.00002	176	0.00001	176	0.00002
Aeromonadaceae	84642	F	68640	0.00403	26292	0.00127	30998	0.00267	20656	0.00230	22510	0.00215	26255	0.00273	23424	0.00138	27686	0.00187	98602	0.00396	1788869	0.03469	41070	0.00216	37737	0.00145	33425	0.00227	52088	0.00150	21955	0.00195	58824	0.00105	15962	0.00215	40990	0.00298	25681	0.00209	24518	0.00218
Succinivibrionaceae	83763	F	1538	0.00009	2090	0.00010	2019	0.00017	1362	0.00015	1645	0.00016	1689	0.00018	2208	0.00013	2860	0.00019	3947	0.00016	0	0.00000	3832	0.00020	2945	0.00011	2696	0.00018	3566	0.00010	1535	0.00014	13343	0.00024	1433	0.00019	2330	0.00017	1802	0.00015	1629	0.00014
Piscirickettsiaceae	135616	F	35824	0.00210	7256	0.00035	5783	0.00050	3635	0.00040	4748	0.00045	4794	0.00050	7147	0.00042	6696	0.00045	48525	0.00195	119	0.00000	8091	0.00042	10528	0.00040	6034	0.00041	12762	0.00037	3955	0.00035	9426	0.00017	3120	0.00042	6321	0.00046	4904	0.00040	4565	0.00041
Thiotrichaceae	135617	F	7896	0.00046	2291	0.00011	1905	0.00016	1207	0.00013	1441	0.00014	1522	0.00016	2201	0.00013	1994	0.00013	9783	0.00039	0	0.00000	2770	0.00015	3097	0.00012	1901	0.00013	3957	0.00011	1373	0.00012	3644	0.00007	1099	0.00015	2201	0.00016	1281	0.00010	1439	0.00013
Francisellaceae	34064	F	6294	0.00037	5159	0.00025	5014	0.00043	2967	0.00033	4000	0.00038	4039	0.00042	6274	0.00037	5562	0.00038	9524	0.00038	291	0.00001	7568	0.00040	5492	0.00021	5541	0.00038	7158	0.00021	3529	0.00031	6074	0.00011	2976	0.00040	5382	0.00039	4319	0.00035	4576	0.00041
Fastidiosibacteraceae	2056687	F	1179	0.00007	181	0.00001	152	0.00001	119	0.00001	147	0.00001	138	0.00001	182	0.00001	223	0.00002	1485	0.00006	0	0.00000	276	0.00001	235	0.00001	180	0.00001	339	0.00001	133	0.00001	248	0.00000	108	0.00001	217	0.00002	79	0.00001	146	0.00001
Pasteurellaceae	712	F	53052	0.00312	24852	0.00120	23428	0.00202	14218	0.00158	16621	0.00159	18523	0.00193	28727	0.00170	23886	0.00161	77229	0.00310	338	0.00001	33377	0.00175	29251	0.00112	23802	0.00162	37443	0.00108	15069	0.00134	27837	0.00050	13265	0.00179	23698	0.00172	18378	0.00150	18471	0.00164
Chromatiaceae	1046	F	26824	0.00158	8748	0.00042	8093	0.00070	5536	0.00062	6324	0.00060	6853	0.00071	6993	0.00041	7974	0.00054	38538	0.00155	142	0.00000	10387	0.00055	9353	0.00036	7967	0.00054	12708	0.00037	5946	0.00053	26486	0.00047	4131	0.00056	9209	0.00067	6706	0.00055	6068	0.00054
Ectothiorhodospiraceae	72276	F	7792	0.00046	7387	0.00036	7268	0.00063	5075	0.00056	6130	0.00059	5938	0.00062	6065	0.00036	7432	0.00050	10358	0.00042	226	0.00000	10012	0.00053	14486	0.00056	9125	0.00062	19713	0.00057	6108	0.00054	22062	0.00039	4030	0.00054	12075	0.00088	7892	0.00064	6253	0.00056
Sedimenticolaceae	3067276	F	3391	0.00020	3166	0.00015	2952	0.00025	2072	0.00023	2387	0.00023	2561	0.00027	2561	0.00015	3030	0.00020	4385	0.00018	12	0.00000	3171	0.00017	3168	0.00012	3108	0.00021	4433	0.00013	2274	0.00020	6469	0.00012	1214	0.00016	3644	0.00026	2421	0.00020	2251	0.00020
Halothiobacillaceae	255526	F	1132	0.00007	815	0.00004	775	0.00007	485	0.00005	571	0.00005	611	0.00006	748	0.00004	818	0.00006	1612	0.00006	14	0.00000	1028	0.00005	979	0.00004	904	0.00006	1374	0.00004	625	0.00006	1850	0.00003	395	0.00005	1029	0.00007	473	0.00004	612	0.00005
Granulosicoccaceae	449719	F	915	0.00005	695	0.00003	682	0.00006	416	0.00005	541	0.00005	501	0.00005	683	0.00004	695	0.00005	1209	0.00005	0	0.00000	1023	0.00005	1051	0.00004	655	0.00004	1390	0.00004	506	0.00004	1434	0.00003	390	0.00005	843	0.00006	563	0.00005	535	0.00005
Wenzhouxiangellaceae	1676141	F	544	0.00003	815	0.00004	729	0.00006	502	0.00006	619	0.00006	595	0.00006	565	0.00003	762	0.00005	759	0.00003	0	0.00000	1097	0.00006	784	0.00003	816	0.00006	1080	0.00003	672	0.00006	2400	0.00004	459	0.00006	1165	0.00008	849	0.00007	622	0.00006
Thioalkalibacteraceae	2035710	F	414	0.00002	828	0.00004	717	0.00006	559	0.00006	611	0.00006	684	0.00007	555	0.00003	786	0.00005	643	0.00003	0	0.00000	1301	0.00007	1294	0.00005	827	0.00006	1784	0.00005	580	0.00005	2879	0.00005	445	0.00006	1130	0.00008	842	0.00007	548	0.00005
Legionellaceae	444	F	15306	0.00090	7237	0.00035	6687	0.00058	3943	0.00044	5169	0.00049	5210	0.00054	8442	0.00050	7498	0.00051	20278	0.00082	21	0.00000	8878	0.00047	9284	0.00036	6830	0.00046	11186	0.00032	4533	0.00040	10947	0.00020	3429	0.00046	7786	0.00057	5231	0.00043	5465	0.00049
Coxiellaceae	118968	F	4776	0.00028	3095	0.00015	3339	0.00029	1844	0.00021	2243	0.00021	2443	0.00025	3100	0.00018	3357	0.00023	6873	0.00028	39	0.00000	3270	0.00017	2890	0.00011	2356	0.00016	3961	0.00011	1539	0.00014	11691	0.00021	1282	0.00017	2782	0.00020	1757	0.00014	1838	0.00016
Methylococcaceae	403	F	18352	0.00108	13599	0.00066	13290	0.00114	8755	0.00097	10703	0.00102	10692	0.00111	12128	0.00072	13702	0.00093	24562	0.00099	64	0.00000	16536	0.00087	17106	0.00066	13407	0.00091	23369	0.00067	9552	0.00085	33248	0.00059	6428	0.00087	15798	0.00115	10853	0.00088	10033	0.00089
Methylothermaceae	1486721	F	390	0.00002	809	0.00004	802	0.00007	556	0.00006	630	0.00006	648	0.00007	521	0.00003	750	0.00005	458	0.00002	0	0.00000	768	0.00004	1361	0.00005	700	0.00005	1885	0.00005	551	0.00005	1891	0.00003	310	0.00004	936	0.00007	501	0.00004	505	0.00004
Orbaceae	1240483	F	9004	0.00053	3917	0.00019	4071	0.00035	2307	0.00026	2838	0.00027	3028	0.00032	5022	0.00030	4289	0.00029	13344	0.00054	127	0.00000	7825	0.00041	5579	0.00021	4609	0.00031	6641	0.00019	2824	0.00025	4544	0.00008	3104	0.00042	3872	0.00028	4641	0.00038	3633	0.00032
Candidatus Pseudothioglobaceae	3399801	F	6361	0.00037	3735	0.00018	3761	0.00032	2270	0.00025	2802	0.00027	2638	0.00027	4191	0.00025	4022	0.00027	8791	0.00035	28	0.00000	5867	0.00031	4390	0.00017	3445	0.00023	5350	0.00015	2407	0.00021	5080	0.00009	2137	0.00029	4167	0.00030	3036	0.00025	2992	0.00027
Celerinatantimonadaceae	412032	F	2245	0.00013	423	0.00002	297	0.00003	344	0.00004	293	0.00003	421	0.00004	1090	0.00006	570	0.00004	3008	0.00012	0	0.00000	334	0.00002	118	0.00000	996	0.00007	177	0.00001	393	0.00003	329	0.00001	180	0.00002	268	0.00002	513	0.00004	555	0.00005
Candidatus Azoamicaceae	3119552	F	43	0.00000	46	0.00000	38	0.00000	30	0.00000	114	0.00001	36	0.00000	100	0.00001	66	0.00000	53	0.00000	0	0.00000	100	0.00001	40	0.00000	65	0.00000	68	0.00000	64	0.00001	58	0.00000	105	0.00001	56	0.00000	137	0.00001	71	0.00001
Ignatzschineriaceae	3018589	F	4189	0.00025	1113	0.00005	837	0.00007	511	0.00006	625	0.00006	694	0.00007	1093	0.00006	999	0.00007	5482	0.00022	0	0.00000	1309	0.00007	859	0.00003	1024	0.00007	1183	0.00003	565	0.00005	1078	0.00002	519	0.00007	755	0.00005	631	0.00005	684	0.00006
Cardiobacteriaceae	868	F	2476	0.00015	2172	0.00010	1496	0.00013	880	0.00010	1098	0.00010	1172	0.00012	1243	0.00007	1468	0.00010	3228	0.00013	0	0.00000	2102	0.00011	2224	0.00009	1963	0.00013	2916	0.00008	1337	0.00012	2547	0.00005	835	0.00011	2202	0.00016	1703	0.00014	1437	0.00013
Kangiellaceae	1920240	F	4217	0.00025	1227	0.00006	1118	0.00010	814	0.00009	1414	0.00014	911	0.00009	1273	0.00008	1307	0.00009	5836	0.00023	0	0.00000	1622	0.00009	953	0.00004	984	0.00007	1231	0.00004	695	0.00006	1355	0.00002	650	0.00009	1135	0.00008	879	0.00007	782	0.00007
Nevskiaceae	568386	F	2258	0.00013	2443	0.00012	2553	0.00022	1714	0.00019	2012	0.00019	2118	0.00022	1950	0.00012	2488	0.00017	3087	0.00012	70	0.00000	3088	0.00016	3398	0.00013	2417	0.00016	4725	0.00014	1679	0.00015	11741	0.00021	1207	0.00016	2982	0.00022	1863	0.00015	1711	0.00015
Algiphilaceae	1266054	F	1413	0.00008	743	0.00004	804	0.00007	563	0.00006	616	0.00006	696	0.00007	514	0.00003	769	0.00005	1969	0.00008	0	0.00000	942	0.00005	1003	0.00004	931	0.00006	1332	0.00004	576	0.00005	2173	0.00004	368	0.00005	1057	0.00008	996	0.00008	637	0.00006
Acidiferrobacteraceae	1692041	F	727	0.00004	1290	0.00006	1393	0.00012	928	0.00010	1101	0.00011	1139	0.00012	1135	0.00007	1430	0.00010	967	0.00004	0	0.00000	1547	0.00008	3013	0.00012	1479	0.00010	4098	0.00012	1013	0.00009	4691	0.00008	588	0.00008	1636	0.00012	1042	0.00008	1075	0.00010
Candidatus Poriferihabitaceae	3033994	F	638	0.00004	389	0.00002	415	0.00004	253	0.00003	335	0.00003	299	0.00003	377	0.00002	376	0.00003	765	0.00003	0	0.00000	558	0.00003	488	0.00002	359	0.00002	662	0.00002	277	0.00002	825	0.00001	221	0.00003	604	0.00004	315	0.00003	269	0.00002
Thiohalobacteraceae	3085110	F	632	0.00004	1575	0.00008	1611	0.00014	697	0.00008	958	0.00009	1317	0.00014	1575	0.00009	1679	0.00011	928	0.00004	0	0.00000	1705	0.00009	3350	0.00013	1039	0.00007	4752	0.00014	775	0.00007	3543	0.00006	690	0.00009	1584	0.00012	1092	0.00009	1171	0.00010
Salinisphaeraceae	742031	F	607	0.00004	600	0.00003	546	0.00005	818	0.00009	472	0.00005	508	0.00005	480	0.00003	620	0.00004	783	0.00003	0	0.00000	1493	0.00008	1969	0.00008	523	0.00004	2574	0.00007	387	0.00003	2302	0.00004	593	0.00008	1597	0.00012	411	0.00003	364	0.00003
Steroidobacteraceae	2689614	F	664	0.00004	361	0.00002	393	0.00003	269	0.00003	279	0.00003	388	0.00004	264	0.00002	392	0.00003	837	0.00003	0	0.00000	498	0.00003	451	0.00002	447	0.00003	649	0.00002	346	0.00003	1931	0.00003	184	0.00002	430	0.00003	403	0.00003	382	0.00003
Candidatus Johnevansiaceae	3399796	F	379	0.00002	250	0.00001	292	0.00003	189	0.00002	269	0.00003	277	0.00003	309	0.00002	372	0.00003	626	0.00003	0	0.00000	245	0.00001	264	0.00001	310	0.00002	328	0.00001	233	0.00002	359	0.00001	91	0.00001	320	0.00002	159	0.00001	337	0.00003
Thiohalomonadaceae	3084969	F	395	0.00002	542	0.00003	998	0.00009	465	0.00005	655	0.00006	803	0.00008	459	0.00003	769	0.00005	1001	0.00004	0	0.00000	941	0.00005	1229	0.00005	778	0.00005	1762	0.00005	440	0.00004	1707	0.00003	377	0.00005	1083	0.00008	1170	0.00010	550	0.00005
Immundisolibacteraceae	1934946	F	336	0.00002	330	0.00002	414	0.00004	276	0.00003	394	0.00004	399	0.00004	326	0.00002	495	0.00003	437	0.00002	0	0.00000	566	0.00003	522	0.00002	493	0.00003	700	0.00002	297	0.00003	3374	0.00006	222	0.00003	622	0.00005	283	0.00002	335	0.00003
