name	taxonomy_id	taxonomy_lvl	C10_S21_P._num	C10_S21_P._frac	C1_S12_P._num	C1_S12_P._frac	C2_S13_P._num	C2_S13_P._frac	C3_S14_P._num	C3_S14_P._frac	C4_S15_P._num	C4_S15_P._frac	C5_S16_P._num	C5_S16_P._frac	C6_S17_P._num	C6_S17_P._frac	C7_S18_P._num	C7_S18_P._frac	C9_S20_P._num	C9_S20_P._frac	Post_Cntl_P._num	Post_Cntl_P._frac	S10_S11_P._num	S10_S11_P._frac	S1_S2_P._num	S1_S2_P._frac	S2_S3_P._num	S2_S3_P._frac	S3_S4_P._num	S3_S4_P._frac	S4_S5_P._num	S4_S5_P._frac	S5_S6_P._num	S5_S6_P._frac	S6_S7_P._num	S6_S7_P._frac	S7_S8_P._num	S7_S8_P._frac	S8_S9_P._num	S8_S9_P._frac	S9_S10_P._num	S9_S10_P._frac
Peploviricota	2731361	P	177	0.00001	211	0.00001	214	0.00002	157	0.00002	166	0.00002	162	0.00002	237	0.00001	239	0.00002	209	0.00001	0	0.00000	279	0.00001	929	0.00004	226	0.00002	822	0.00002	128	0.00001	768	0.00001	114	0.00002	239	0.00002	122	0.00001	155	0.00001
Nucleocytoviricota	2732007	P	3544	0.00021	2457	0.00012	2639	0.00023	1628	0.00018	2485	0.00024	2198	0.00023	2969	0.00018	3150	0.00021	3768	0.00015	14	0.00000	3855	0.00020	3054	0.00012	2834	0.00019	4146	0.00012	1769	0.00016	3960	0.00007	1550	0.00021	2279	0.00017	1904	0.00015	2359	0.00021
Preplasmiviricota	2732008	P	57	0.00000	51	0.00000	60	0.00001	28	0.00000	43	0.00000	97	0.00001	43	0.00000	53	0.00000	62	0.00000	0	0.00000	125	0.00001	812	0.00003	94	0.00001	48	0.00000	50	0.00000	90	0.00000	39	0.00001	902	0.00007	44	0.00000	486	0.00004
Negarnaviricota	2497569	P	138	0.00001	236	0.00001	186	0.00002	141	0.00002	151	0.00001	171	0.00002	210	0.00001	209	0.00001	205	0.00001	51	0.00000	293	0.00002	281	0.00001	181	0.00001	445	0.00001	106	0.00001	270	0.00000	136	0.00002	174	0.00001	123	0.00001	148	0.00001
Pisuviricota	2732408	P	119	0.00001	123	0.00001	111	0.00001	50	0.00001	86	0.00001	79	0.00001	105	0.00001	116	0.00001	128	0.00001	0	0.00000	180	0.00001	138	0.00001	96	0.00001	176	0.00001	56	0.00000	214	0.00000	54	0.00001	135	0.00001	90	0.00001	65	0.00001
Kitrinoviricota	2732406	P	95	0.00001	49	0.00000	68	0.00001	34	0.00000	39	0.00000	53	0.00001	49	0.00000	57	0.00000	104	0.00000	0	0.00000	58	0.00000	82	0.00000	33	0.00000	115	0.00000	63	0.00001	94	0.00000	33	0.00000	35	0.00000	45	0.00000	35	0.00000
Duplornaviricota	2732405	P	47	0.00000	65	0.00000	44	0.00000	29	0.00000	43	0.00000	94	0.00001	35	0.00000	49	0.00000	56	0.00000	0	0.00000	64	0.00000	145	0.00001	62	0.00000	183	0.00001	35	0.00000	162	0.00000	36	0.00000	141	0.00001	112	0.00001	33	0.00000
Lenarviricota	2732407	P	86	0.00001	125	0.00001	95	0.00001	67	0.00001	93	0.00001	28	0.00000	171	0.00001	121	0.00001	99	0.00000	0	0.00000	133	0.00001	65	0.00000	98	0.00001	137	0.00000	21	0.00000	88	0.00000	71	0.00001	77	0.00001	116	0.00001	72	0.00001
Artverviricota	2732409	P	229	0.00001	828	0.00004	229	0.00002	502	0.00006	0	0.00000	230	0.00002	707	0.00004	391	0.00003	24	0.00000	0	0.00000	909	0.00005	213	0.00001	715	0.00005	1271	0.00004	432	0.00004	715	0.00001	342	0.00005	641	0.00005	556	0.00005	166	0.00001
Hofneiviricota	2732410	P	94	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	146	0.00001	0	0.00000	0	0.00000	33	0.00000	0	0.00000	19	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cressdnaviricota	2732416	P	44	0.00000	52	0.00000	40	0.00000	45	0.00001	44	0.00000	33	0.00000	59	0.00000	62	0.00000	59	0.00000	0	0.00000	60	0.00000	94	0.00000	53	0.00000	158	0.00000	28	0.00000	122	0.00000	21	0.00000	34	0.00000	45	0.00000	39	0.00000
Cossaviricota	2732415	P	40	0.00000	33	0.00000	49	0.00000	33	0.00000	32	0.00000	49	0.00001	25	0.00000	51	0.00000	44	0.00000	0	0.00000	51	0.00000	18	0.00000	54	0.00000	28	0.00000	35	0.00000	67	0.00000	21	0.00000	43	0.00000	48	0.00000	37	0.00000
Taleaviricota	2840024	P	33	0.00000	20	0.00000	52	0.00000	28	0.00000	27	0.00000	39	0.00000	43	0.00000	54	0.00000	30	0.00000	0	0.00000	43	0.00000	99	0.00000	98	0.00001	142	0.00000	57	0.00001	44	0.00000	13	0.00000	75	0.00001	22	0.00000	65	0.00001
Dividoviricota	2732009	P	11	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	10	0.00000	0	0.00000	25	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Heterolobosea	5752	P	0	0.00000	12	0.00000	20	0.00000	14	0.00000	11	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	139	0.00001	33	0.00000	0	0.00000	76	0.00000	0	0.00000	84	0.00000	52	0.00001	0	0.00000	57	0.00000	0	0.00000
Phixviricota	2732412	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	10	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Produgelaviricota	3412607	P	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	11	0.00000	827	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
